STATE,ID,YEAR,All_GHGs ,CO2_Emissions_Total ,CH4_Emissions_Total,N2O_Emissions_Total,F-Gas_Emissions_Total,Energy_GHGs_Total,Electricity_Generation,Residential,Commercial,Industrial,Transportation,Fugitive_Emissions,Industrial_Processes,Agriculture,Waste,GHG_per_capita,GHG_intensity
Pennsylvania,PA,1991,292.54,263.04,21.51,6.66,1.33,274.80,103.17,24.17,13.33,59.46,62.50,12.18,5.18,6.26,6.30,24.41,
Rhode Island,RI,1991,11.60,10.81,0.43,0.29,0.07,11.10,1.36,2.38,1.17,1.79,4.41,0.00,0.08,0.04,0.38,11.48,
South Carolina,SC,1991,70.81,64.24,2.87,2.77,0.92,64.62,22.53,2.28,1.40,14.36,24.05,0.00,2.01,2.26,1.92,19.83,
South Dakota,SD,1991,24.45,12.28,5.91,6.19,0.07,12.48,3.37,1.21,0.68,2.03,4.69,0.50,0.42,11.24,0.31,34.75,
Tennessee,TN,1991,117.12,102.97,7.68,5.29,1.18,104.00,43.62,3.56,3.41,20.31,32.84,0.26,2.44,6.62,4.06,23.58,
Texas,TX,1991,675.54,595.07,53.98,23.09,3.41,617.12,185.36,13.28,11.97,229.64,155.53,21.32,8.79,37.83,11.80,38.83,
United States,US,1991,5950.54,5104.24,503.92,305.19,37.19,5296.29,1809.77,352.38,228.40,1090.44,1643.88,171.43,99.01,389.53,165.71,23.52,
Utah,UT,1991,59.93,53.59,4.28,1.89,0.16,55.84,27.68,3.16,1.89,9.23,11.63,2.25,0.84,2.69,0.56,33.67,
Vermont,VT,1991,7.01,5.68,0.74,0.48,0.11,5.90,0.07,1.47,0.65,0.47,3.25,0.00,0.12,0.89,0.09,12.32,
Virginia,VA,1991,128.97,98.37,24.67,5.17,0.76,115.80,25.18,6.43,4.21,20.83,42.75,16.40,2.07,5.31,5.79,20.47,
Washington,WA,1991,86.35,73.46,5.38,4.61,2.91,75.10,7.97,3.94,3.31,16.42,43.39,0.08,3.35,5.48,2.43,17.18,
West Virginia,WV,1991,128.36,98.92,27.50,1.45,0.50,124.35,65.45,2.36,1.82,18.67,10.80,25.26,1.35,1.22,1.44,71.36,
Wisconsin,WI,1991,110.74,89.03,12.60,8.59,0.52,90.68,34.60,10.21,5.04,15.10,25.73,0.00,0.95,13.94,5.16,22.31,
Wyoming,WY,1991,74.46,60.65,11.58,2.12,0.12,70.03,39.27,0.88,0.93,9.95,5.52,13.47,0.67,3.58,0.18,162.14,
Alabama,AL,1992,149.05,124.00,19.40,5.01,0.64,136.44,57.27,3.31,2.11,29.61,31.07,13.06,3.50,5.48,3.63,35.88,
Alaska,AK,1992,47.86,38.30,9.24,0.27,0.05,46.15,2.30,1.77,2.52,18.91,11.06,9.58,1.36,0.04,0.31,81.29,
Arizona,AZ,1992,74.48,67.27,3.62,2.75,0.84,68.22,35.54,1.81,1.79,3.96,25.03,0.09,1.55,3.26,1.45,19.02,
Arkansas,AR,1992,68.38,52.99,8.08,7.01,0.30,54.01,22.22,2.47,1.59,9.84,17.06,0.83,1.18,11.53,1.65,28.30,
California,CA,1992,413.85,361.40,31.19,18.35,2.90,372.37,45.65,27.79,17.51,74.56,202.55,4.31,7.47,20.32,13.69,13.36,
Colorado,CO,1992,85.16,68.90,11.07,4.79,0.39,75.71,31.71,5.61,4.13,7.53,20.75,5.98,0.88,7.99,0.58,24.36,
Connecticut,CT,1992,43.94,41.10,1.33,1.22,0.29,41.55,8.51,9.46,4.30,3.64,15.65,0.00,0.33,0.31,1.75,13.31,
Delaware,DE,1992,19.17,17.85,0.42,0.81,0.09,18.10,6.79,1.16,0.55,4.64,4.96,0.00,0.10,0.60,0.37,27.59,
District Of Columbia,DC,1992,4.69,4.37,0.07,0.14,0.10,4.52,0.12,1.01,1.38,0.03,1.99,0.00,0.11,0.00,0.06,7.84,
Florida,FL,1992,215.13,193.61,11.94,8.01,1.56,195.74,89.56,1.91,5.95,13.85,84.38,0.09,3.07,6.62,9.69,15.76,
Georgia,GA,1992,145.39,132.52,6.16,5.85,0.86,135.09,53.15,6.94,3.97,20.21,50.82,0.00,1.87,5.16,3.28,21.33,
Hawaii,HI,1992,22.39,20.67,1.02,0.62,0.09,20.73,7.00,0.07,0.92,1.98,10.75,0.00,0.21,0.56,0.89,19.33,
Idaho,ID,1992,19.27,11.86,3.75,3.39,0.28,11.83,0.00,0.83,0.87,3.39,6.74,0.00,0.78,6.20,0.46,17.98,
Illinois,IL,1992,235.04,194.73,20.05,19.07,1.18,201.25,52.82,27.36,12.26,47.66,56.16,4.99,3.59,19.44,10.76,20.10,
Indiana,IN,1992,222.55,202.24,7.67,11.34,1.31,203.83,93.74,10.18,5.51,51.89,41.40,1.11,3.33,11.38,4.02,39.22,
Iowa,IA,1992,96.80,66.47,11.94,18.08,0.32,65.79,26.65,5.23,3.14,14.34,16.43,0.01,2.15,26.90,1.96,34.35,
Kansas,KS,1992,92.84,67.99,13.57,11.00,0.28,71.54,24.76,4.07,3.14,16.62,18.71,4.24,2.08,17.78,1.44,36.66,
Kentucky,KY,1992,145.99,125.76,13.32,5.70,1.21,132.78,68.63,4.63,2.98,21.68,29.00,5.86,2.05,7.83,3.33,38.77,
Louisiana,LA,1992,222.09,203.99,13.14,4.28,0.67,205.55,36.21,3.31,1.96,104.11,52.92,7.03,7.20,6.32,3.02,51.73,
Maine,ME,1992,21.83,20.18,0.67,0.79,0.19,19.99,1.69,3.05,1.80,5.52,7.92,0.00,0.92,0.40,0.52,17.62,
Maryland,MD,1992,76.98,68.95,4.21,3.03,0.79,69.85,25.08,6.79,4.04,7.57,26.15,0.22,1.58,1.96,3.60,15.64,
