STATE,ID,YEAR,All_GHGs ,CO2_Emissions_Total ,CH4_Emissions_Total,N2O_Emissions_Total,F-Gas_Emissions_Total,Energy_GHGs_Total,Electricity_Generation,Residential,Commercial,Industrial,Transportation,Fugitive_Emissions,Industrial_Processes,Agriculture,Waste,GHG_per_capita,GHG_intensity
Ohio,OH,1996,299.72,268.81,15.77,12.01,3.13,275.35,120.93,24.44,12.83,45.93,66.27,4.96,6.32,10.17,7.89,26.66,
Oklahoma,OK,1996,128.43,102.04,17.85,7.62,0.92,107.63,42.51,4.59,2.77,22.35,28.22,7.19,4.19,14.03,2.58,38.45,
Oregon,OR,1996,47.06,37.36,4.24,3.83,1.63,37.84,3.22,2.54,1.93,7.03,23.12,0.00,2.28,5.40,1.54,14.49,
Pennsylvania,PA,1996,310.76,278.88,21.69,7.22,2.98,292.55,110.65,26.40,14.48,60.25,66.39,14.37,7.69,6.33,4.19,25.43,
Rhode Island,RI,1996,14.46,13.54,0.42,0.30,0.20,13.83,3.44,2.71,1.43,1.82,4.43,0.00,0.22,0.03,0.38,14.17,
South Carolina,SC,1996,78.67,70.37,3.66,3.22,1.42,70.96,28.43,2.57,1.79,13.46,24.72,0.00,2.61,2.49,2.61,20.72,
South Dakota,SD,1996,27.78,13.89,6.80,6.93,0.16,13.89,2.64,1.45,0.82,2.35,5.85,0.77,0.90,12.62,0.37,37.43,
Tennessee,TN,1996,135.83,120.90,6.96,6.17,1.80,121.91,52.01,4.92,4.06,20.21,40.56,0.16,3.59,7.33,2.99,25.08,
Texas,TX,1996,763.30,671.74,59.67,25.76,6.13,695.83,204.57,13.22,11.23,268.06,174.07,24.68,13.22,42.12,12.13,39.47,
United States,US,1996,6571.77,5655.01,508.17,336.39,72.21,5836.50,2018.04,394.67,241.56,1183.11,1823.50,175.61,153.38,421.63,160.26,24.39,
Utah,UT,1996,69.03,60.66,5.76,2.17,0.44,63.48,29.85,3.13,2.02,9.65,14.29,4.53,1.67,3.09,0.80,33.38,
Vermont,VT,1996,7.82,6.40,0.67,0.50,0.25,6.54,0.01,1.51,0.66,0.42,3.93,0.00,0.29,0.91,0.08,13.18,
Virginia,VA,1996,135.01,110.53,17.17,5.71,1.61,120.54,33.21,8.18,6.11,18.19,45.58,9.28,3.30,5.47,5.70,20.00,
Washington,WA,1996,97.27,83.35,5.50,5.27,3.14,84.80,10.76,4.85,3.32,19.19,46.61,0.07,3.90,6.00,2.57,17.46,
West Virginia,WV,1996,133.31,108.39,22.67,1.58,0.68,128.61,78.19,2.69,1.97,13.82,11.64,20.29,1.87,1.25,1.58,73.14,
Wisconsin,WI,1996,124.25,104.39,10.63,8.04,1.19,106.03,40.21,11.49,6.01,18.51,29.80,0.00,1.87,12.38,3.97,23.76,
Wyoming,WY,1996,87.91,68.14,17.04,2.58,0.15,82.32,41.30,0.95,1.31,10.27,7.05,21.44,0.89,4.48,0.21,180.07,
Alabama,AL,1997,165.59,140.50,18.63,5.18,1.28,148.69,68.35,3.37,2.42,29.43,33.07,12.06,7.68,5.23,3.99,37.91,1354.10
Alaska,AK,1997,51.05,43.19,7.37,0.34,0.15,49.35,2.74,1.73,2.57,21.20,13.73,7.39,1.24,0.09,0.36,83.28,1374.52
Arizona,AZ,1997,82.56,73.90,3.59,3.10,1.97,73.86,35.17,1.91,1.99,5.32,29.38,0.08,3.95,3.46,1.29,17.43,582.57
Arkansas,AR,1997,81.28,64.79,8.23,7.56,0.71,63.31,24.66,2.65,1.80,12.92,20.43,0.86,4.34,12.05,1.58,31.25,1140.27
California,CA,1997,420.18,362.33,30.84,18.26,8.75,370.84,35.85,27.03,15.41,78.47,209.76,4.33,15.28,22.48,11.57,12.93,353.70
Colorado,CO,1997,97.50,77.50,13.43,5.48,1.08,85.03,34.57,6.38,4.23,8.30,24.12,7.43,2.54,9.11,0.82,24.26,618.94
Connecticut,CT,1997,48.09,45.01,1.01,1.25,0.81,44.46,12.17,8.15,4.29,3.59,16.26,0.00,1.70,0.25,1.67,14.36,292.03
Delaware,DE,1997,19.64,18.25,0.35,0.85,0.20,17.66,5.71,1.14,0.70,5.14,4.97,0.00,1.03,0.59,0.36,26.14,464.69
District Of Columbia,DC,1997,4.63,4.27,0.06,0.13,0.16,4.41,0.09,0.99,1.40,0.03,1.89,0.00,0.17,0.00,0.05,8.15,70.15
Florida,FL,1997,247.35,224.07,11.01,8.34,3.92,224.66,106.33,1.38,3.62,17.66,95.58,0.09,7.17,6.51,9.01,16.29,518.38
Georgia,GA,1997,176.63,160.12,6.85,7.60,2.06,162.02,68.55,7.32,4.08,21.28,60.80,0.00,4.35,6.31,3.95,22.98,629.35
Hawaii,HI,1997,21.37,19.55,0.96,0.58,0.28,18.81,7.74,0.05,0.31,1.98,8.75,0.00,1.11,0.51,0.94,17.64,444.31
Idaho,ID,1997,23.19,14.42,4.48,3.76,0.53,14.41,0.10,1.13,0.88,3.68,8.62,0.00,1.08,7.23,0.46,18.87,748.99
Illinois,IL,1997,277.59,238.61,16.26,19.65,3.08,237.45,80.02,28.68,12.93,50.08,61.57,4.18,12.78,18.95,8.41,22.78,569.10
Indiana,IN,1997,264.29,242.84,7.46,11.78,2.20,223.15,108.49,11.05,5.87,50.76,45.71,1.27,26.18,11.24,3.72,44.38,1334.39
Iowa,IA,1997,109.78,77.71,11.56,19.74,0.77,76.69,31.03,6.01,3.86,16.22,19.58,0.00,3.08,28.32,1.69,37.97,1135.40
Kansas,KS,1997,104.57,75.44,15.91,12.52,0.70,78.63,31.10,4.31,2.54,16.16,19.68,4.84,3.52,20.50,1.92,39.68,1181.14
Kentucky,KY,1997,170.98,150.04,13.28,5.94,1.72,154.67,82.94,4.99,3.42,25.13,31.86,6.33,5.62,7.76,2.92,43.25,1383.84
Louisiana,LA,1997,238.24,218.97,13.42,4.55,1.30,220.74,39.62,3.41,1.76,109.95,58.25,7.74,8.40,6.29,2.81,53.89,1442.26
Maine,ME,1997,22.90,20.91,0.67,0.88,0.44,20.61,1.77,3.96,1.66,4.83,8.39,0.00,1.23,0.46,0.60,18.25,616.77
Maryland,MD,1997,83.76,75.63,3.47,3.11,1.56,75.26,27.75,7.12,4.24,8.16,27.88,0.12,3.43,1.77,3.31,16.24,450.12
Massachusetts,MA,1997,93.86,88.01,2.01,2.23,1.61,88.46,26.08,14.51,9.49,6.32,32.06,0.00,1.77,0.29,3.35,15.08,369.56
Michigan,MI,1997,224.12,203.52,9.86,8.26,2.47,198.55,72.36,25.27,12.16,29.04,58.68,1.04,11.69,6.76,7.12,22.85,656.49
Minnesota,MN,1997,115.94,93.94,6.61,14.13,1.26,94.71,31.46,9.65,6.17,15.52,31.90,0.00,1.95,17.59,1.69,24.34,645.04
Mississippi,MS,1997,70.15,59.76,4.75,4.87,0.77,58.41,17.98,2.01,1.53,10.67,25.53,0.70,4.07,6.14,1.54,25.26,983.92
Missouri,MO,1997,156.49,131.42,11.39,11.83,1.86,129.82,61.53,8.64,5.23,10.74,43.66,0.01,6.22,16.76,3.70,28.55,822.34
Montana,MT,1997,41.64,30.79,6.31,4.07,0.47,32.59,16.25,1.51,0.97,4.65,7.42,1.79,0.88,8.02,0.15,46.80,1734.00
Nebraska,NE,1997,68.40,42.94,11.00,14.01,0.45,42.15,18.17,2.89,2.08,5.43,13.50,0.06,2.10,23.39,0.76,40.56,1135.21
Nevada,NV,1997,42.31,38.92,1.69,1.23,0.47,38.80,19.53,1.63,1.38,2.88,13.38,0.01,1.35,1.44,0.71,23.98,575.87
New Hampshire,NH,1997,18.43,17.11,0.50,0.52,0.30,17.51,5.09,2.90,1.37,1.51,6.63,0.00,0.32,0.15,0.45,15.50,460.33
New Jersey,NJ,1997,138.30,130.64,2.70,2.99,1.97,131.74,17.15,17.31,11.59,23.28,62.42,0.00,2.88,0.46,3.21,16.83,388.62
New Mexico,NM,1997,71.55,56.85,11.77,2.36,0.57,64.74,29.05,2.25,1.64,7.89,16.27,7.64,1.16,4.85,0.81,40.31,1343.37
New York,NY,1997,240.04,212.59,16.06,6.69,4.70,214.96,52.35,35.51,29.82,26.53,70.26,0.49,6.78,4.75,13.56,12.87,312.87
North Carolina,NC,1997,165.64,144.93,10.61,7.84,2.27,147.35,66.88,6.91,4.47,19.94,49.15,0.00,3.45,10.40,4.44,21.63,613.74
North Dakota,ND,1997,54.97,44.36,4.18,6.13,0.31,45.27,29.78,1.27,0.98,6.65,5.59,1.02,0.69,8.70,0.31,84.61,2842.59
Ohio,OH,1997,309.32,278.58,15.58,11.68,3.49,271.74,118.04,23.05,12.53,45.08,68.01,5.03,20.08,9.73,7.77,27.43,778.43
Oklahoma,OK,1997,130.43,104.01,17.97,7.41,1.04,109.12,43.49,4.26,3.18,22.96,27.98,7.25,4.87,13.84,2.59,38.67,1288.83
Oregon,OR,1997,47.19,37.76,3.95,3.71,1.77,37.53,2.72,2.43,1.92,7.15,23.31,0.00,3.24,5.21,1.21,14.28,460.94
Pennsylvania,PA,1997,324.25,290.88,22.81,7.17,3.39,298.91,112.13,24.89,13.75,62.94,69.16,16.04,15.21,6.12,4.01,26.52,778.04
Rhode Island,RI,1997,15.17,14.46,0.17,0.30,0.24,13.91,3.36,2.65,1.35,1.66,4.89,0.00,1.09,0.03,0.14,14.79,441.25
South Carolina,SC,1997,82.11,73.63,3.84,3.10,1.55,73.08,29.40,2.30,1.73,13.86,25.78,0.00,3.86,2.33,2.85,21.27,700.31
South Dakota,SD,1997,27.76,14.19,6.38,7.01,0.19,13.85,3.54,1.32,0.77,2.33,5.70,0.19,0.97,12.56,0.38,37.31,1244.10
Tennessee,TN,1997,141.38,126.79,6.78,5.84,1.97,125.28,55.04,4.44,3.88,20.79,40.94,0.20,6.18,6.67,3.25,25.71,775.56
Texas,TX,1997,786.49,695.87,59.12,24.63,6.88,717.11,209.20,13.67,13.19,276.71,178.90,25.44,17.86,39.14,12.39,39.84,1042.51
United States,US,1997,6740.49,5834.11,500.82,323.68,81.88,5928.19,2086.32,375.42,241.78,1204.59,1844.55,175.53,252.95,407.28,152.07,24.72,684.52
Utah,UT,1997,71.60,63.24,5.66,2.17,0.52,65.39,30.84,3.39,2.21,10.25,14.90,3.80,2.21,3.11,0.88,33.78,1042.65
Vermont,VT,1997,8.01,6.59,0.67,0.47,0.28,6.76,0.02,1.47,0.71,0.69,3.86,0.00,0.33,0.88,0.04,13.40,462.94
Virginia,VA,1997,137.06,114.21,15.68,5.33,1.83,121.88,34.51,7.79,5.65,18.94,46.89,8.10,4.53,5.18,5.46,20.07,532.52
Washington,WA,1997,95.18,81.77,5.13,4.93,3.35,82.48,9.04,4.92,3.31,17.43,47.71,0.07,4.92,5.59,2.18,16.77,425.96
West Virginia,WV,1997,136.90,113.23,21.35,1.59,0.73,131.11,82.22,2.67,1.89,12.67,12.66,18.99,3.01,1.18,1.61,75.26,2893.33
Wisconsin,WI,1997,127.59,107.70,10.45,8.07,1.37,108.99,43.41,10.35,5.93,19.34,29.96,0.00,2.46,12.29,3.86,24.23,709.47
Wyoming,WY,1997,87.05,67.36,17.01,2.51,0.16,81.30,40.97,0.82,0.94,10.45,7.17,20.96,0.93,4.59,0.22,177.85,4151.50
Alabama,AL,1998,163.62,138.32,18.59,5.37,1.34,146.36,69.32,3.13,1.90,26.25,33.68,12.08,7.90,5.36,3.99,37.15,1296.90
Alaska,AK,1998,51.61,44.21,6.90,0.34,0.16,49.86,2.91,1.67,2.68,21.69,14.00,6.91,1.28,0.08,0.38,83.25,1463.13
Arizona,AZ,1998,86.86,78.18,3.20,3.22,2.26,78.28,37.05,2.22,2.29,5.05,31.59,0.08,4.12,3.60,0.86,17.79,560.30
Arkansas,AR,1998,82.16,65.63,8.29,7.49,0.75,63.99,25.59,2.35,1.76,12.78,20.63,0.88,4.55,12.01,1.61,31.28,1134.79
California,CA,1998,429.92,372.34,29.81,18.06,9.71,380.57,39.40,32.50,17.81,76.04,210.41,4.41,16.29,22.23,10.83,13.03,338.92
Colorado,CO,1998,99.53,78.83,13.74,5.79,1.17,86.62,35.01,6.04,3.82,8.88,25.27,7.60,2.57,9.45,0.88,24.18,595.83
Connecticut,CT,1998,45.53,42.68,0.71,1.26,0.87,42.05,11.02,7.08,4.03,3.43,16.49,0.00,1.71,0.28,1.48,13.53,268.85
Delaware,DE,1998,18.84,17.47,0.29,0.86,0.21,16.90,5.39,1.06,0.60,4.85,5.00,0.00,1.01,0.61,0.32,24.68,434.54
District Of Columbia,DC,1998,4.43,4.09,0.05,0.13,0.16,4.21,0.26,0.84,1.26,0.02,1.83,0.00,0.17,0.00,0.05,7.84,66.79
Florida,FL,1998,259.72,236.31,10.72,8.46,4.23,236.81,116.83,1.45,3.52,17.90,97.02,0.08,7.61,6.50,8.80,16.77,519.24
Georgia,GA,1998,177.12,160.39,6.87,7.66,2.21,162.22,69.02,6.82,3.68,19.84,62.86,0.00,4.58,6.28,4.04,22.52,598.52
Hawaii,HI,1998,21.35,19.46,0.99,0.59,0.30,18.77,7.56,0.09,1.09,1.48,8.55,0.00,1.07,0.54,0.97,17.56,452.96
Idaho,ID,1998,23.97,14.71,4.70,4.02,0.54,14.66,0.10,1.11,0.95,3.71,8.78,0.00,1.14,7.70,0.47,19.14,741.70
Illinois,IL,1998,267.06,227.38,15.42,20.98,3.28,226.16,77.61,23.63,11.06,47.35,62.69,3.82,12.49,20.52,7.89,21.76,531.27
Indiana,IN,1998,261.74,239.68,7.58,12.19,2.29,221.43,109.16,9.13,5.54,50.23,46.05,1.32,24.75,11.87,3.69,43.63,1257.49
Iowa,IA,1998,114.22,79.96,12.35,21.10,0.81,78.84,33.91,5.05,3.37,16.30,20.22,0.00,3.24,30.46,1.69,39.35,1171.25
Kansas,KS,1998,103.49,73.58,15.89,13.28,0.74,76.52,30.75,4.34,2.55,14.47,19.72,4.69,3.65,21.29,2.04,38.90,1124.41
Kentucky,KY,1998,168.72,147.89,12.88,6.20,1.74,152.25,82.62,4.18,2.91,24.46,31.88,6.20,5.77,7.91,2.79,42.33,1328.92
Louisiana,LA,1998,225.52,205.47,14.21,4.52,1.33,207.86,41.28,3.02,1.62,96.46,57.07,8.41,8.57,6.38,2.71,50.79,1307.18
Maine,ME,1998,22.67,20.69,0.61,0.90,0.46,20.24,1.96,4.27,1.72,4.10,8.20,0.00,1.29,0.51,0.63,18.01,590.23
Maryland,MD,1998,86.04,78.44,2.85,3.11,1.65,77.99,30.45,6.32,4.70,7.74,28.67,0.11,3.48,1.74,2.84,16.53,443.76
Massachusetts,MA,1998,91.75,85.92,1.82,2.22,1.80,86.25,26.52,13.31,8.11,6.23,32.08,0.00,1.97,0.28,3.25,14.63,345.48
Michigan,MI,1998,220.78,199.95,9.82,8.37,2.64,195.32,75.34,21.45,10.37,27.15,59.97,1.05,11.63,6.93,6.91,22.42,631.28
Minnesota,MN,1998,116.21,93.10,6.60,15.17,1.34,93.80,31.40,8.07,5.46,15.45,33.41,0.00,2.08,18.71,1.62,24.14,614.03
Mississippi,MS,1998,71.23,60.68,4.81,4.93,0.81,59.04,19.40,1.85,1.51,9.72,25.84,0.71,4.41,6.17,1.61,25.39,970.62
Missouri,MO,1998,159.86,134.51,11.32,12.08,1.96,133.00,63.19,7.27,4.48,10.74,47.30,0.01,6.19,16.87,3.80,28.95,819.40
Montana,MT,1998,43.56,32.50,6.39,4.19,0.49,34.39,18.02,1.25,0.78,4.97,7.43,1.94,0.95,8.05,0.17,48.81,1755.28
Nebraska,NE,1998,71.71,44.44,11.29,15.50,0.48,43.57,18.84,2.63,1.68,6.23,14.12,0.06,2.21,25.14,0.79,42.28,1182.42
Nevada,NV,1998,44.68,41.18,1.70,1.30,0.50,41.11,21.18,1.93,1.49,2.76,13.73,0.01,1.36,1.48,0.74,24.11,571.03
New Hampshire,NH,1998,17.95,17.10,0.00,0.53,0.33,17.49,4.72,2.82,1.21,1.48,7.26,0.00,0.34,0.16,-0.04,14.88,416.61
New Jersey,NJ,1998,132.98,125.94,1.91,2.99,2.13,126.97,15.93,15.32,10.25,22.11,63.36,0.00,3.01,0.49,2.51,16.05,366.32
New Mexico,NM,1998,71.52,56.43,12.11,2.38,0.60,64.53,29.54,2.23,1.59,7.04,16.26,7.87,1.20,5.01,0.78,39.88,1318.54
New York,NY,1998,238.80,210.85,15.98,6.91,5.06,213.16,56.10,32.34,27.86,25.58,70.76,0.51,7.12,5.07,13.46,12.73,302.58
North Carolina,NC,1998,164.75,143.94,10.49,7.91,2.40,146.34,66.09,6.72,4.35,18.94,50.25,0.00,3.60,10.64,4.18,21.10,585.22
North Dakota,ND,1998,55.27,44.80,4.11,6.05,0.31,45.75,30.99,1.06,0.88,6.68,5.03,1.11,0.72,8.48,0.31,85.35,2702.00
Ohio,OH,1998,307.27,276.47,14.89,12.29,3.62,269.17,121.15,19.38,10.58,44.26,68.80,4.99,20.60,10.44,7.07,27.16,748.53
Oklahoma,OK,1998,128.34,101.49,17.99,7.76,1.10,106.38,43.06,3.94,2.71,20.88,28.55,7.25,5.07,14.47,2.41,37.69,1239.69
Oregon,OR,1998,53.20,43.54,3.80,3.86,1.99,43.25,6.22,2.50,2.00,8.20,24.32,0.00,3.43,5.28,1.23,15.87,492.52
Pennsylvania,PA,1998,308.26,276.57,20.97,7.15,3.58,283.58,113.30,21.24,12.13,50.32,71.26,15.33,15.40,6.29,2.99,25.17,713.11
Rhode Island,RI,1998,15.32,14.66,0.07,0.33,0.26,14.17,3.28,2.41,1.15,2.56,4.77,0.00,1.07,0.04,0.04,14.86,435.99
South Carolina,SC,1998,85.58,76.91,3.97,3.08,1.61,76.34,30.82,2.24,1.99,14.08,27.21,0.00,3.96,2.27,3.01,21.84,701.97
South Dakota,SD,1998,28.06,13.65,6.26,7.95,0.20,13.29,3.30,1.12,0.67,2.16,5.86,0.18,0.99,13.40,0.38,37.61,1181.96
Tennessee,TN,1998,140.90,126.22,6.77,5.85,2.06,124.24,53.37,4.10,3.54,21.20,41.85,0.17,6.42,6.58,3.66,25.30,742.72
Texas,TX,1998,788.96,697.16,58.76,25.61,7.43,717.65,215.94,12.13,11.19,266.88,188.02,23.48,18.30,40.33,12.68,39.14,983.53
United States,US,1998,6733.77,5821.73,488.62,335.84,87.58,5907.45,2141.85,342.26,224.89,1155.24,1881.80,161.41,258.02,421.79,146.51,24.41,655.30
Utah,UT,1998,73.85,65.06,6.01,2.21,0.56,67.68,31.54,3.27,2.20,11.31,15.15,4.21,2.16,3.17,0.85,34.10,1009.64
Vermont,VT,1998,7.74,6.30,0.64,0.51,0.29,6.50,0.06,1.40,0.75,0.47,3.82,0.00,0.33,0.95,-0.04,12.89,428.09
Virginia,VA,1998,137.00,115.51,14.15,5.40,1.93,121.65,36.31,7.15,5.45,18.41,47.56,6.78,4.65,5.23,5.47,19.85,507.88
Washington,WA,1998,100.26,86.68,5.01,5.07,3.50,87.25,11.69,4.81,3.12,22.54,45.02,0.07,5.04,5.78,2.19,17.38,422.84
West Virginia,WV,1998,140.30,115.27,22.65,1.62,0.76,134.43,81.57,2.29,1.98,15.04,13.26,20.29,3.03,1.21,1.63,77.27,2903.45
Wisconsin,WI,1998,124.83,104.61,10.37,8.40,1.45,105.79,41.57,8.92,5.57,18.15,31.57,0.00,2.63,12.76,3.66,23.56,668.12
Wyoming,WY,1998,78.75,64.61,11.29,2.69,0.16,72.77,44.20,0.79,0.94,10.66,7.38,8.80,0.95,4.80,0.23,160.45,3658.98
Alabama,AL,1999,164.78,140.18,18.14,4.99,1.47,148.15,70.44,3.31,2.18,26.43,33.99,11.80,7.77,4.92,3.93,37.19,1260.05
Alaska,AK,1999,51.58,44.67,6.38,0.35,0.18,49.82,3.02,1.97,2.84,20.61,15.07,6.32,1.28,0.09,0.39,82.55,1476.99
Arizona,AZ,1999,90.71,82.20,3.02,3.01,2.48,82.37,39.58,2.13,2.22,5.13,33.23,0.08,4.24,3.46,0.64,18.06,538.91
Arkansas,AR,1999,84.32,67.81,8.69,7.00,0.82,66.53,26.64,2.64,1.79,12.21,21.84,1.40,4.48,11.68,1.63,31.80,1104.64
California,CA,1999,434.55,375.65,30.48,17.72,10.70,383.64,43.34,32.19,14.96,74.11,214.63,4.41,17.51,23.24,10.16,12.97,317.69
Colorado,CO,1999,101.43,80.83,13.87,5.45,1.28,88.77,35.27,6.49,3.85,8.73,26.79,7.64,2.58,9.11,0.97,24.00,564.14
Connecticut,CT,1999,46.90,43.93,0.79,1.23,0.96,43.29,9.84,8.01,4.28,3.46,17.71,0.00,1.68,0.28,1.66,13.85,271.18
Delaware,DE,1999,18.85,17.53,0.28,0.80,0.24,17.11,5.00,1.14,0.64,5.15,5.18,0.00,0.91,0.55,0.28,24.32,420.77
District Of Columbia,DC,1999,4.52,4.16,0.05,0.13,0.18,4.29,0.25,0.87,1.23,0.07,1.86,0.00,0.18,0.00,0.05,7.93,64.94
Florida,FL,1999,258.98,235.67,10.46,8.15,4.70,235.85,113.14,1.43,3.61,17.94,99.67,0.07,8.09,6.21,8.83,16.43,493.30
Georgia,GA,1999,178.88,162.64,6.69,7.09,2.46,164.51,70.31,6.44,3.28,19.72,64.75,0.00,4.71,5.75,3.91,22.23,565.31
Hawaii,HI,1999,21.00,19.13,0.99,0.55,0.34,18.49,7.66,0.06,0.27,1.31,9.18,0.00,0.99,0.49,1.03,17.35,443.26
Idaho,ID,1999,24.73,15.57,4.94,3.66,0.55,15.51,0.10,1.37,1.08,3.72,9.24,0.00,1.16,7.53,0.52,19.38,694.79
Illinois,IL,1999,273.92,236.49,14.72,19.09,3.63,235.39,78.13,26.21,11.59,46.97,68.73,3.76,12.48,18.58,7.48,22.16,528.20
Indiana,IN,1999,267.16,246.27,7.18,11.24,2.46,226.97,111.56,10.38,5.49,51.47,46.84,1.24,25.93,10.87,3.38,44.19,1248.62
Iowa,IA,1999,113.79,80.74,12.64,19.52,0.89,79.83,33.97,5.51,3.77,16.55,20.02,0.00,3.08,29.21,1.68,39.00,1137.47
Kansas,KS,1999,104.82,76.51,15.27,12.22,0.82,78.68,32.62,4.57,2.40,14.37,20.77,3.94,3.72,20.35,2.06,39.14,1107.30
Kentucky,KY,1999,171.60,151.93,12.27,5.45,1.95,156.17,85.05,4.64,3.46,24.20,32.90,5.93,5.75,7.07,2.61,42.71,1310.48
Louisiana,LA,1999,222.80,203.35,13.76,4.23,1.46,205.84,41.28,2.91,1.76,94.94,56.91,8.03,8.12,6.04,2.80,49.95,1277.80
Maine,ME,1999,23.67,21.68,0.63,0.89,0.47,21.23,3.29,4.06,1.60,3.83,8.45,0.00,1.31,0.48,0.65,18.68,591.36
Maryland,MD,1999,88.61,80.95,2.83,3.03,1.80,80.59,31.52,6.73,4.54,7.64,30.06,0.10,3.48,1.70,2.84,16.86,438.48
Massachusetts,MA,1999,89.54,83.65,1.73,2.12,2.04,83.73,23.74,14.14,6.22,6.87,32.76,0.00,2.19,0.26,3.36,14.17,320.19
Michigan,MI,1999,228.47,207.22,10.09,8.22,2.93,202.95,74.67,23.64,10.90,30.37,62.34,1.02,11.41,6.92,7.18,23.08,628.50
Minnesota,MN,1999,116.10,93.90,6.59,14.12,1.49,94.50,30.11,8.54,5.45,14.93,35.47,0.00,2.28,17.67,1.64,23.82,586.92
Mississippi,MS,1999,75.31,65.22,4.67,4.52,0.90,63.67,20.46,1.86,1.42,12.10,27.16,0.67,4.39,5.82,1.43,26.63,996.82
Missouri,MO,1999,158.98,135.00,11.01,10.86,2.11,133.38,62.43,7.76,4.77,11.81,46.60,0.01,6.41,15.71,3.48,28.58,795.53
Montana,MT,1999,43.78,33.15,6.36,3.75,0.51,34.99,18.13,1.26,0.75,5.32,7.69,1.84,0.99,7.62,0.18,48.78,1729.01
Nebraska,NE,1999,69.22,43.06,11.33,14.31,0.52,42.33,18.19,2.63,1.60,5.41,14.43,0.06,2.07,24.01,0.81,40.61,1111.83
Nevada,NV,1999,45.46,41.93,1.74,1.22,0.57,41.82,21.35,1.84,1.47,2.62,14.52,0.01,1.43,1.41,0.80,23.50,539.89
New Hampshire,NH,1999,18.14,17.31,-0.05,0.51,0.36,17.64,4.59,2.84,1.25,1.46,7.50,0.00,0.38,0.16,-0.03,14.84,402.13
New Jersey,NJ,1999,136.55,129.32,1.95,2.91,2.37,130.31,16.65,16.35,11.80,22.42,63.09,0.00,3.13,0.47,2.64,16.33,364.46
New Mexico,NM,1999,71.81,57.26,11.66,2.27,0.62,64.76,30.15,2.32,1.67,7.02,16.29,7.31,1.23,5.00,0.82,39.72,1242.21
New York,NY,1999,241.01,213.46,15.41,6.54,5.60,215.60,56.83,35.08,30.36,21.76,71.01,0.56,7.58,4.92,12.91,12.76,290.51
North Carolina,NC,1999,162.59,142.58,10.33,7.03,2.65,144.91,65.43,6.40,4.09,17.84,51.16,0.00,3.80,9.57,4.31,20.45,536.27
North Dakota,ND,1999,56.45,46.33,4.14,5.67,0.31,47.17,31.76,1.15,0.89,6.51,5.93,0.92,0.72,8.24,0.32,87.61,2761.01
Ohio,OH,1999,305.49,275.78,14.51,11.25,3.95,267.77,116.30,21.36,10.90,43.92,70.48,4.81,21.26,9.46,7.00,26.95,730.53
Oklahoma,OK,1999,124.82,100.49,16.25,6.92,1.16,103.66,41.90,3.88,2.42,20.13,29.76,5.57,5.10,13.62,2.43,36.32,1166.85
Oregon,OR,1999,54.36,44.96,3.94,3.30,2.16,44.67,6.25,2.83,2.07,8.97,24.54,0.00,3.54,4.76,1.39,16.02,485.61
Pennsylvania,PA,1999,302.67,274.66,17.56,6.60,3.85,279.12,108.82,23.67,12.26,49.69,71.75,12.92,15.84,5.90,1.81,24.68,682.90
Rhode Island,RI,1999,14.57,13.88,0.08,0.32,0.29,13.51,2.97,2.36,1.09,2.15,4.94,0.00,0.97,0.04,0.05,14.01,401.85
South Carolina,SC,1999,88.92,80.18,4.09,2.94,1.71,79.62,33.17,2.33,2.31,13.88,27.94,0.00,4.01,2.14,3.14,22.37,698.93
South Dakota,SD,1999,28.89,14.26,6.57,7.84,0.22,13.90,3.71,1.09,0.67,2.25,6.01,0.18,1.00,13.60,0.38,38.50,1152.96
Tennessee,TN,1999,140.52,126.51,6.56,5.24,2.20,124.65,52.77,4.31,3.70,20.66,43.04,0.17,6.40,5.87,3.60,24.92,714.61
Texas,TX,1999,775.24,684.68,58.64,23.89,8.01,705.50,219.59,11.63,11.38,252.69,186.37,23.84,18.17,38.56,13.00,37.71,925.92
United States,US,1999,6762.16,5875.91,477.94,312.59,95.72,5954.15,2152.32,362.86,226.89,1133.00,1925.84,153.25,262.85,402.11,143.05,24.23,628.02
Utah,UT,1999,71.99,63.47,5.78,2.10,0.63,65.80,32.09,3.25,2.23,8.99,15.62,3.61,2.18,3.11,0.90,32.67,949.15
Vermont,VT,1999,7.95,6.55,0.67,0.45,0.28,6.75,0.05,1.38,0.70,0.65,3.97,0.00,0.32,0.93,-0.04,13.15,420.28
Virginia,VA,1999,138.06,117.03,13.70,5.18,2.15,123.49,37.88,7.27,5.43,17.95,48.37,6.58,4.85,5.02,4.71,19.72,485.26
Washington,WA,1999,100.84,87.62,4.90,4.61,3.71,88.43,10.67,5.39,3.55,22.99,45.76,0.06,5.18,5.41,1.82,17.26,392.09
West Virginia,WV,1999,140.62,116.64,21.59,1.57,0.82,134.96,84.86,2.43,2.10,13.45,12.91,19.22,2.84,1.16,1.65,77.61,2804.25
Wisconsin,WI,1999,129.02,108.76,10.50,8.16,1.60,109.89,42.31,10.02,5.69,19.64,32.23,0.00,2.79,12.70,3.64,24.19,664.41
Wyoming,WY,1999,77.25,63.16,11.52,2.39,0.18,71.66,42.45,0.77,0.91,9.99,8.36,9.18,0.96,4.39,0.24,157.08,3405.03
