"Air Quality Statistics by County, 2010",,,,,,,,,,,,,
State/County ,,2010 Population,CO          8-hr   (ppm),Pb      RQmax (µg/m3),NO2          AM   (ppb),NO2  1-hr (ppb),O3           8-hr   (ppb),PM10           24-hr (µg/m3),PM2.5     Wtd AM  (µg/m3),PM2.5        24-hr  (µg/m3),SO2       AM   (ppb),SO2             24-hr  (ppb),SO2     1-hr (ppb)
Nebraska,Cass County,25241,ND,ND,ND,ND,ND,249,IN,IN,ND,ND,ND
Nebraska,Cedar County,8852,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Nebraska,Cherry County,5713,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Nebraska,Dawson County,24326,ND,ND,ND,ND,ND,90,ND,ND,ND,ND,ND
Nebraska,Deuel County,1941,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Nebraska,Dodge County,36691,ND,IN,ND,ND,ND,ND,ND,ND,ND,ND,ND
Nebraska,Douglas County,517110,2,ND,ND,ND,0.064,145,10.3,28,2.124,25.9,58
Nebraska,Hall County,58607,ND,ND,ND,ND,ND,ND,7.3,21,ND,ND,ND
Nebraska,Lancaster County,285407,2,ND,ND,ND,0.05,ND,9,26,ND,ND,ND
Nebraska,Lincoln County,36288,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Nebraska,Nemaha County,7248,ND,IN,ND,ND,ND,ND,ND,ND,ND,ND,ND
Nebraska,Sarpy County,158840,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Nebraska,Scotts Bluff County,36970,ND,ND,ND,ND,0.059,ND,5.3,14,ND,ND,ND
Nebraska,Washington County,20234,ND,ND,ND,ND,ND,ND,9.7,26,ND,ND,ND
Nevada,Churchill County,24877,ND,ND,ND,ND,0.062,ND,ND,ND,ND,ND,ND
Nevada,Clark County,1951269,3,ND,13.308,55.9,0.079,61,7.4,22,ND,ND,ND
Nevada,Douglas County,46997,3,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Nevada,Elko County,48818,ND,ND,ND,ND,ND,61,ND,ND,ND,ND,ND
Nevada,Lyon County,51980,ND,ND,ND,ND,0.063,ND,ND,ND,ND,ND,ND
Nevada,Mineral County,4772,ND,ND,ND,ND,ND,80,ND,ND,ND,ND,ND
Nevada,Nye County,43946,ND,ND,ND,ND,ND,95,ND,ND,ND,ND,ND
Nevada,Washoe County,421407,3,ND,16.276,55,0.07,77,6,16,IN,IN,IN
Nevada,White Pine County,10030,ND,ND,ND,ND,0.069,ND,ND,ND,ND,ND,ND
Nevada,Carson City,55274,ND,ND,ND,ND,0.064,ND,ND,ND,ND,ND,ND
New Hampshire,Belknap County,60088,ND,ND,ND,ND,0.064,ND,5.4,18,ND,ND,ND
New Hampshire,Cheshire County,77117,ND,ND,ND,ND,0.064,ND,8.3,22,ND,ND,ND
New Hampshire,Coos County,33055,ND,ND,ND,ND,0.073,ND,IN,IN,ND,ND,ND
New Hampshire,Grafton County,89118,ND,ND,ND,ND,0.061,ND,6.6,20,ND,ND,ND
New Hampshire,Hillsborough County,400721,2,ND,7.99,42.2,0.077,29,8,25,1.453,12,57.7
New Hampshire,Merrimack County,146445,ND,ND,ND,ND,0.068,ND,8.6,23,10.487,109,219.7
New Hampshire,Rockingham County,295223,ND,ND,ND,ND,0.066,33,IN,IN,2.268,10.5,44.9
New Hampshire,Sullivan County,43742,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
New Jersey,Atlantic County,274549,ND,ND,ND,ND,0.08,IN,9.2,21,0.925,6.1,9.8
New Jersey,Bergen County,905116,2,ND,15.824,64,0.076,ND,8.8,25,0.372,4.6,9
New Jersey,Camden County,513657,0,ND,ND,ND,0.088,85,9.5,23,0.615,5.7,10
New Jersey,Cumberland County,156898,ND,ND,ND,ND,0.077,ND,ND,ND,1.077,5.5,10
New Jersey,Essex County,783969,2,ND,18.343,64,0.085,ND,9.2,24,1.895,9.6,18
New Jersey,Gloucester County,288288,ND,ND,ND,ND,0.083,ND,IN,IN,1.03,8.7,15
New Jersey,Hudson County,634266,2,ND,18.268,68,0.082,65,10.6,27,2.381,10.3,26
New Jersey,Hunterdon County,128349,ND,ND,ND,ND,0.081,ND,ND,ND,ND,ND,ND
New Jersey,Mercer County,366513,ND,ND,8.065,40,0.086,53,9.5,27,ND,ND,ND
New Jersey,Middlesex County,809858,2,ND,10.125,45,0.086,ND,7.4,19,0.953,7,17
New Jersey,Monmouth County,630380,2,ND,ND,ND,0.086,ND,ND,ND,ND,ND,ND
New Jersey,Morris County,492276,1,ND,4.215,36,0.078,ND,8.5,23,1.046,10.9,26
New Jersey,Ocean County,576567,ND,ND,ND,ND,0.087,ND,8.7,24,ND,ND,ND
New Jersey,Passaic County,501226,ND,ND,ND,ND,0.077,ND,IN,IN,ND,ND,ND
New Jersey,Union County,536499,2,ND,22.192,71,ND,ND,10.6,28,1.414,8.8,30
New Jersey,Warren County,108692,ND,ND,ND,ND,ND,ND,9.4,38,IN,IN,IN
New Mexico,Bernalillo County,662564,3,ND,12.068,53,0.069,122,5.3,18,ND,ND,ND
New Mexico,Chaves County,65645,ND,ND,ND,ND,ND,33,IN,IN,ND,ND,ND
New Mexico,Doña Ana County,209233,ND,ND,8.625,51,0.07,589,10.7,40,ND,ND,ND
New Mexico,Eddy County,53829,ND,ND,2.393,IN,0.07,ND,ND,ND,ND,ND,ND
New Mexico,Grant County,29514,ND,ND,ND,ND,0.07,26,4.5,11,0.053,1,1
New Mexico,Lea County,64727,ND,ND,5.621,41,0.053,50,IN,IN,ND,ND,ND
New Mexico,Luna County,25095,ND,ND,4.565,28,0.058,519,ND,ND,ND,ND,ND
New Mexico,McKinley County,71492,ND,ND,ND,ND,ND,28,ND,ND,ND,ND,ND
New Mexico,Sandoval County,131561,ND,ND,ND,ND,0.063,83,IN,IN,ND,ND,ND
New Mexico,San Juan County,130044,ND,ND,12.39,40,0.069,49,IN,IN,0.665,2.3,14
New Mexico,Santa Fe County,144170,ND,ND,ND,ND,0.064,27,4,8,ND,ND,ND
New Mexico,Taos County,32937,ND,ND,ND,ND,ND,39,ND,ND,ND,ND,ND
New Mexico,Valencia County,76569,ND,ND,ND,ND,0.063,ND,ND,ND,ND,ND,ND
New York,Albany County,304204,1,ND,ND,ND,0.073,ND,7.9,24,2.326,7.4,14
New York,Bronx County,1385108,2,ND,20.097,70,0.073,ND,11.4,27,4.829,23.6,50.2
New York,Broome County,200600,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
New York,Chautauqua County,134905,ND,ND,ND,ND,0.08,ND,7.5,24,1.544,8.3,30
New York,Chemung County,88830,ND,ND,ND,ND,0.067,ND,ND,ND,2.084,6,11
New York,Dutchess County,297488,ND,ND,ND,ND,0.076,ND,IN,IN,ND,ND,ND
New York,Erie County,919040,1,ND,13,59,0.072,ND,10.2,30,1.831,8.4,30.6
New York,Essex County,39370,ND,ND,ND,ND,0.073,ND,4.3,16,0.716,2.4,4.7
New York,Franklin County,51599,ND,ND,2.099,19,0.047,ND,ND,ND,1.043,13.5,14
New York,Hamilton County,4836,ND,ND,ND,ND,0.068,ND,ND,ND,0.338,2.7,4.1
New York,Herkimer County,64519,ND,ND,ND,ND,0.065,ND,ND,ND,0.54,2.5,4.2
New York,Jefferson County,116229,ND,ND,ND,ND,0.077,ND,ND,ND,ND,ND,ND
New York,Kings County,2504700,ND,ND,ND,ND,ND,ND,9.9,25,ND,ND,ND
New York,Madison County,73442,ND,ND,ND,ND,0.071,ND,ND,ND,1.093,5.3,7
New York,Monroe County,744344,1,ND,ND,ND,0.072,ND,8.3,23,2.186,8.8,25
New York,Nassau County,1339532,ND,ND,14.569,57,ND,ND,8.7,20,2.093,10.3,18
New York,New York County,1585873,2,ND,ND,ND,0.074,ND,11.5,27,ND,ND,ND
New York,Niagara County,216469,1,ND,ND,ND,0.071,ND,8.3,25,1.535,6.7,16.3
New York,Oneida County,234878,ND,ND,ND,ND,0.063,ND,IN,IN,ND,ND,ND
New York,Onondaga County,467026,1,ND,ND,ND,0.073,ND,7.6,23,0.92,3.6,10
New York,Orange County,372813,ND,0.08,ND,ND,0.075,ND,8.1,27,ND,ND,ND
New York,Oswego County,122109,ND,ND,ND,ND,0.071,ND,ND,ND,ND,ND,ND
New York,Putnam County,99710,ND,ND,ND,ND,0.077,ND,ND,ND,0.796,3.8,10
New York,Queens County,2230722,2,ND,19.275,69,0.076,ND,9.4,26,2.831,15.2,25.4
New York,Rensselaer County,159429,ND,ND,ND,ND,0.073,ND,ND,ND,1.123,5.3,7.5
New York,Richmond County,468730,ND,ND,ND,ND,0.085,ND,9.7,26,ND,ND,ND
New York,Rockland County,311687,ND,ND,ND,ND,0.076,ND,ND,ND,ND,ND,ND
New York,St. Lawrence County,111944,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
New York,Saratoga County,219607,ND,ND,ND,ND,0.071,ND,ND,ND,ND,ND,ND
New York,Schenectady County,154727,1,ND,ND,ND,0.07,ND,IN,IN,1.92,6.2,16
New York,Steuben County,98990,0,ND,1.334,13.7,0.068,ND,IN,IN,0.634,6.1,13.7
New York,Suffolk County,1493350,1,ND,8.783,IN,0.085,ND,8.4,26,3.73,11,IN
New York,Ulster County,182493,ND,ND,ND,ND,0.07,ND,ND,ND,0.502,3.3,6.2
New York,Wayne County,93772,ND,ND,ND,ND,0.071,ND,ND,ND,ND,ND,ND
New York,Westchester County,949113,ND,ND,ND,ND,0.075,ND,8.8,27,ND,ND,ND
North Carolina,Alamance County,151131,ND,ND,ND,ND,ND,ND,11.1,20,ND,ND,ND
North Carolina,Alexander County,37198,ND,ND,ND,ND,0.071,ND,ND,ND,ND,ND,ND
North Carolina,Avery County,17797,ND,ND,ND,ND,0.071,ND,ND,ND,ND,ND,ND
North Carolina,Beaufort County,47759,ND,ND,ND,ND,ND,ND,ND,ND,0.71,6.2,28
North Carolina,Buncombe County,238318,ND,ND,ND,ND,0.071,ND,10.2,20,ND,ND,ND
North Carolina,Cabarrus County,178011,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
North Carolina,Caldwell County,83029,ND,ND,ND,ND,0.071,ND,ND,ND,ND,ND,ND
North Carolina,Caswell County,23719,ND,ND,ND,ND,0.073,ND,10.1,18,ND,ND,ND
North Carolina,Catawba County,154358,ND,ND,ND,ND,ND,33,11.2,23,ND,ND,ND
North Carolina,Chatham County,63505,ND,ND,ND,ND,0.07,ND,8.9,19,ND,ND,ND
North Carolina,Cumberland County,319431,ND,ND,ND,ND,0.072,37,11.4,25,ND,ND,ND
North Carolina,Davidson County,162878,ND,ND,ND,ND,ND,ND,12.1,24,ND,ND,ND
North Carolina,Davie County,41240,ND,ND,ND,ND,0.072,ND,ND,ND,ND,ND,ND
North Carolina,Duplin County,58505,ND,ND,ND,ND,ND,28,9.3,19,ND,ND,ND
North Carolina,Durham County,267587,ND,ND,ND,ND,0.074,ND,10.2,21,ND,ND,ND
North Carolina,Edgecombe County,56552,ND,ND,ND,ND,0.072,ND,9.7,21,ND,ND,ND
North Carolina,Forsyth County,350670,2,ND,9.395,49,0.081,47,10.8,24,0.331,4.1,15
North Carolina,Franklin County,60619,ND,ND,ND,ND,0.071,ND,ND,ND,ND,ND,ND
North Carolina,Gaston County,206086,ND,ND,ND,ND,ND,ND,10.8,22,ND,ND,ND
North Carolina,Graham County,8861,ND,ND,ND,ND,0.075,ND,ND,ND,ND,ND,ND
North Carolina,Granville County,59916,ND,ND,ND,ND,0.074,ND,ND,ND,ND,ND,ND
North Carolina,Guilford County,488406,ND,ND,ND,ND,0.076,29,10.5,21,ND,ND,ND
North Carolina,Haywood County,59036,ND,ND,ND,ND,0.075,ND,10.6,24,ND,ND,ND
North Carolina,Jackson County,40271,ND,ND,ND,ND,0.069,ND,10.2,19,ND,ND,ND
North Carolina,Johnston County,168878,ND,ND,ND,ND,0.074,ND,9.8,20,ND,ND,ND
North Carolina,Lenoir County,59495,ND,ND,ND,ND,0.069,ND,9.5,20,ND,ND,ND
North Carolina,Lincoln County,78265,ND,ND,ND,ND,0.072,ND,ND,ND,ND,ND,ND
North Carolina,McDowell County,44996,ND,ND,ND,ND,ND,ND,10.3,19,ND,ND,ND
North Carolina,Martin County,24505,ND,ND,ND,ND,0.07,ND,9,22,0.449,3.1,6
North Carolina,Mecklenburg County,919628,2,ND,11.738,50,0.082,48,12.1,25,0.926,5.7,19.8
North Carolina,Mitchell County,15579,ND,ND,ND,ND,ND,ND,9.7,18,ND,ND,ND
North Carolina,Montgomery County,27798,ND,ND,ND,ND,ND,ND,9.9,22,ND,ND,ND
North Carolina,Nash County,95840,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
North Carolina,New Hanover County,202667,ND,ND,ND,ND,0.062,ND,8,20,4.255,27.7,114
North Carolina,Onslow County,177772,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
North Carolina,Orange County,133801,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
North Carolina,Pasquotank County,40661,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
North Carolina,Person County,39464,ND,ND,ND,ND,0.074,ND,ND,ND,ND,ND,ND
North Carolina,Pitt County,168148,ND,ND,ND,ND,0.069,ND,9.2,22,ND,ND,ND
North Carolina,Robeson County,134168,ND,ND,ND,ND,ND,ND,10.6,25,ND,ND,ND
North Carolina,Rockingham County,93643,ND,ND,ND,ND,0.074,ND,ND,ND,ND,ND,ND
North Carolina,Rowan County,138428,1,ND,ND,ND,0.078,ND,11,22,ND,ND,ND
North Carolina,Swain County,13981,ND,ND,ND,ND,0.066,ND,9.9,21,IN,IN,IN
North Carolina,Union County,201292,ND,ND,ND,ND,0.071,ND,ND,ND,ND,ND,ND
North Carolina,Wake County,900993,2,ND,ND,ND,0.073,43,10.2,21,1.017,5.7,12.4
North Carolina,Watauga County,51079,ND,ND,ND,ND,ND,ND,8.8,16,ND,ND,ND
North Carolina,Wayne County,122623,ND,ND,ND,ND,ND,ND,10.6,21,ND,ND,ND
North Carolina,Yancey County,17818,ND,ND,ND,ND,0.074,ND,ND,ND,ND,ND,ND
North Dakota,Billings County,783,ND,ND,ND,ND,0.061,ND,4.7,12,0.151,1.5,6
North Dakota,Burke County,1968,ND,ND,1.856,21,0.063,46,IN,IN,1.232,15.9,45.2
North Dakota,Burleigh County,81308,ND,ND,5.707,38,0.061,44,7.7,18,1.175,9.3,41
North Dakota,Cass County,149778,1,ND,5.435,44,0.063,96,8.5,27,0.293,2.5,6.1
North Dakota,Dunn County,3536,ND,ND,IN,IN,0.058,32,ND,ND,IN,IN,IN
North Dakota,Grand Forks County,66861,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
North Dakota,McKenzie County,6360,ND,ND,1.149,10,0.062,29,IN,IN,0.528,3.5,21
North Dakota,Mercer County,8424,ND,ND,2.926,26,0.061,43,6.4,15,1.481,14.3,54
North Dakota,Oliver County,1846,ND,ND,2.201,19,0.061,ND,ND,ND,1.479,10.4,59
North Dakota,Stark County,24199,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
North Dakota,Steele County,1975,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
North Dakota,Ward County,61675,ND,ND,IN,IN,ND,ND,ND,ND,IN,IN,IN
North Dakota,Williams County,22398,ND,ND,ND,ND,ND,ND,ND,ND,2.219,25.9,77
Ohio,Adams County,28550,ND,ND,ND,ND,ND,ND,ND,ND,2.353,10.7,43
Ohio,Allen County,106331,ND,ND,ND,ND,0.072,42,IN,IN,1.877,7.1,23
Ohio,Ashtabula County,101497,ND,ND,ND,ND,0.083,ND,ND,ND,1.604,8.4,20
Ohio,Athens County,64757,ND,ND,4.036,25.7,0.07,ND,IN,IN,4.969,17,70.5
Ohio,Belmont County,70400,ND,ND,ND,ND,ND,ND,ND,ND,2.753,15.7,62
Ohio,Butler County,368130,ND,0.01,ND,ND,0.08,44,13.6,32,IN,IN,IN
Ohio,Clark County,138333,ND,ND,ND,ND,0.075,ND,13.1,30,1.393,12.3,28
Ohio,Clermont County,197363,ND,ND,ND,ND,0.075,ND,12,28,ND,ND,ND
Ohio,Clinton County,42040,ND,ND,ND,ND,0.076,ND,ND,ND,ND,ND,ND
Ohio,Columbiana County,107841,ND,0.06,ND,ND,ND,44,ND,ND,2.674,21.5,47
Ohio,Cuyahoga County,1280122,4,0.53,15.822,58,0.075,72,14,33,5.823,36.4,76
Ohio,Delaware County,174214,ND,ND,ND,ND,0.074,ND,ND,ND,ND,ND,ND
Ohio,Franklin County,1163414,2,0.01,ND,ND,0.077,126,13.1,34,ND,ND,ND
Ohio,Fulton County,42698,ND,0.1,ND,ND,ND,ND,ND,ND,ND,ND,ND
Ohio,Geauga County,93389,ND,ND,ND,ND,0.081,ND,ND,ND,ND,ND,ND
Ohio,Greene County,161573,ND,ND,ND,ND,0.07,31,IN,IN,ND,ND,ND
Ohio,Hamilton County,802374,1,ND,14.645,54,0.08,59,14.9,35,2.664,14.2,IN
Ohio,Hancock County,74782,ND,ND,ND,ND,ND,42,ND,ND,ND,ND,ND
Ohio,Jefferson County,69709,ND,ND,ND,ND,0.071,63,12.7,30,4.41,26.5,127
Ohio,Knox County,60921,ND,ND,ND,ND,0.073,ND,ND,ND,ND,ND,ND
Ohio,Lake County,230041,1,ND,ND,ND,0.08,39,10.4,27,7.611,48.7,139
Ohio,Lawrence County,62450,ND,ND,ND,ND,0.074,40,12.1,25,IN,8,IN
Ohio,Licking County,166492,ND,ND,ND,ND,0.074,ND,ND,ND,ND,ND,ND
Ohio,Logan County,45858,ND,0.01,ND,ND,ND,ND,ND,ND,ND,ND,ND
Ohio,Lorain County,301356,ND,ND,ND,ND,0.073,35,10.4,24,ND,ND,ND
Ohio,Lucas County,441815,ND,ND,ND,ND,0.072,87,11.4,30,ND,ND,ND
Ohio,Madison County,43435,ND,ND,ND,ND,0.073,ND,ND,ND,ND,ND,ND
Ohio,Mahoning County,238823,ND,ND,ND,ND,0.071,49,12.6,33,2.439,13.1,48
Ohio,Marion County,66501,ND,IN,ND,ND,ND,ND,ND,ND,ND,ND,ND
Ohio,Medina County,172332,1,ND,IN,IN,0.071,ND,10.8,29,IN,IN,IN
Ohio,Meigs County,23770,ND,ND,ND,ND,ND,ND,ND,ND,3.212,16.9,94
Ohio,Miami County,102506,ND,ND,ND,ND,0.07,ND,ND,ND,ND,ND,ND
Ohio,Montgomery County,535153,2,ND,ND,ND,0.077,45,14,30,ND,ND,ND
Ohio,Morgan County,15054,ND,ND,ND,ND,ND,ND,ND,ND,3.915,40.2,167
Ohio,Portage County,161419,ND,ND,ND,ND,0.071,ND,11.2,32,ND,ND,ND
Ohio,Preble County,42270,ND,ND,ND,ND,0.071,ND,12,30,ND,ND,ND
Ohio,Scioto County,79499,ND,ND,ND,ND,ND,50,11.8,24,2.366,12.8,51.8
Ohio,Stark County,375586,2,0.02,ND,ND,0.08,ND,14.4,33,ND,ND,ND
Ohio,Summit County,541781,2,ND,ND,ND,0.076,ND,13.2,32,2.493,22.7,38
Ohio,Trumbull County,210312,ND,IN,ND,ND,0.076,44,11.9,31,ND,ND,ND
Ohio,Tuscarawas County,92582,ND,ND,ND,ND,ND,ND,ND,ND,3.967,18,58
Ohio,Warren County,212693,ND,ND,ND,ND,0.076,ND,11.9,27,ND,ND,ND
Ohio,Washington County,61778,ND,0.01,ND,ND,0.076,ND,ND,ND,ND,ND,ND
Ohio,Wood County,125488,ND,ND,ND,ND,0.07,ND,ND,ND,ND,ND,ND
Oklahoma,Adair County,22683,0,ND,3.133,IN,0.07,44,14.2,28,IN,IN,IN
Oklahoma,Caddo County,29600,ND,ND,ND,ND,0.069,39,8.9,23,ND,ND,ND
Oklahoma,Canadian County,115541,ND,ND,ND,ND,0.072,ND,IN,IN,ND,ND,ND
Oklahoma,Carter County,47557,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Oklahoma,Cherokee County,46987,ND,ND,ND,ND,0.071,ND,IN,IN,ND,ND,ND
Oklahoma,Cleveland County,255755,ND,ND,ND,ND,0.07,ND,ND,ND,ND,ND,ND
Oklahoma,Comanche County,124098,ND,ND,ND,ND,0.067,ND,IN,IN,ND,ND,ND
Oklahoma,Creek County,69967,ND,ND,ND,ND,0.069,ND,ND,ND,ND,ND,ND
Oklahoma,Custer County,27469,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Oklahoma,Dewey County,4810,ND,ND,ND,ND,0.067,ND,ND,ND,ND,ND,ND
Oklahoma,Garfield County,60580,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Oklahoma,Jefferson County,6472,ND,ND,ND,ND,0.067,ND,ND,ND,ND,ND,ND
Oklahoma,Kay County,46562,ND,ND,ND,ND,0.059,ND,IN,IN,3.26,12.4,38
Oklahoma,Lincoln County,34273,ND,ND,ND,ND,0.059,ND,IN,IN,ND,ND,ND
Oklahoma,Love County,9423,ND,ND,ND,ND,0.07,ND,ND,ND,ND,ND,ND
Oklahoma,McClain County,34506,ND,ND,ND,ND,0.069,ND,ND,ND,ND,ND,ND
Oklahoma,McCurtain County,33151,ND,ND,ND,ND,0.066,ND,ND,ND,ND,ND,ND
Oklahoma,Mayes County,41259,ND,0,ND,ND,0.069,ND,10.9,22,ND,ND,ND
Oklahoma,Muskogee County,70990,ND,ND,ND,ND,0.03,118,10.7,20,0.831,8.2,30
Oklahoma,Oklahoma County,718633,1,0,8.921,47,0.072,41,9.2,18,0.777,3.5,6
Oklahoma,Osage County,47472,ND,ND,ND,ND,0.068,39,ND,ND,ND,ND,ND
Oklahoma,Ottawa County,31848,ND,IN,ND,ND,0.068,65,IN,IN,ND,ND,ND
Oklahoma,Pawnee County,16577,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Oklahoma,Payne County,77350,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Oklahoma,Pittsburg County,45837,ND,0,ND,ND,0.068,ND,9.8,18,ND,ND,ND
Oklahoma,Pottawatomie County,69442,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Oklahoma,Seminole County,25482,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Oklahoma,Sequoyah County,42391,ND,ND,IN,IN,0.068,ND,IN,IN,ND,ND,ND
Oklahoma,Tulsa County,603403,2,0.01,8.311,38,0.073,74,10.7,24,5.3,26.2,63
Oregon,Benton County,85579,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Oregon,Clackamas County,375992,ND,ND,ND,ND,0.066,ND,ND,ND,ND,ND,ND
Oregon,Columbia County,49351,ND,ND,ND,ND,0.049,ND,IN,IN,ND,ND,ND
Oregon,Crook County,20978,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Oregon,Deschutes County,157733,ND,ND,ND,ND,0.059,ND,4.5,15,ND,ND,ND
Oregon,Douglas County,107667,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Oregon,Harney County,7422,ND,ND,ND,ND,ND,ND,7.9,25,ND,ND,ND
Oregon,Jackson County,203206,2,ND,ND,ND,0.061,31,7.1,19,ND,ND,ND
Oregon,Josephine County,82713,ND,ND,ND,ND,ND,ND,6.4,20,ND,ND,ND
Oregon,Klamath County,66380,ND,ND,ND,ND,ND,43,9.8,35,ND,ND,ND
Oregon,Lake County,7895,ND,ND,ND,ND,ND,ND,7.5,26,ND,ND,ND
Oregon,Lane County,351715,1,ND,ND,ND,0.06,39,8.9,33,ND,ND,ND
Oregon,Linn County,116672,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Oregon,Marion County,315335,ND,ND,ND,ND,0.057,ND,IN,IN,ND,ND,ND
Oregon,Multnomah County,735334,2,ND,8.635,33,0.054,29,6.3,17,1.35,3.2,8
Oregon,Umatilla County,75889,ND,ND,ND,ND,0.063,29,6.9,18,ND,ND,ND
Oregon,Union County,25748,ND,ND,ND,ND,ND,31,5.9,13,ND,ND,ND
Oregon,Wasco County,25213,ND,ND,ND,ND,ND,ND,IN,IN,ND,ND,ND
Oregon,Washington County,529710,ND,ND,ND,ND,0.056,ND,6.6,16,ND,ND,ND
Oregon,Yamhill County,99193,ND,0.03,ND,ND,ND,ND,ND,ND,ND,ND,ND
Pennsylvania,Adams County,101407,0,ND,IN,IN,0.074,ND,11.7,31,ND,ND,ND
Pennsylvania,Allegheny County,1223348,3,0.14,15.254,51,0.083,93,16.1,49,7.106,25.9,141
Pennsylvania,Armstrong County,68941,ND,ND,ND,ND,0.079,ND,13.2,32,ND,ND,ND
Pennsylvania,Beaver County,170539,ND,0.21,11.429,IN,0.077,69,12.6,29,6.681,39.6,161
Pennsylvania,Berks County,411442,1,0.2,8.232,38,0.084,28,10.1,27,3.396,9.8,36
Pennsylvania,Blair County,127089,ND,ND,ND,ND,0.072,52,IN,IN,4.721,19.1,36
Pennsylvania,Bucks County,625249,2,ND,10.638,44,0.087,ND,10.4,29,2.796,13.9,24
Pennsylvania,Cambria County,143679,1,ND,10.485,43,0.072,63,11.9,31,4.182,19.3,56
Pennsylvania,Centre County,153990,ND,ND,5.187,33,0.073,ND,9,26,2.072,9.9,26
Pennsylvania,Chester County,498886,ND,ND,ND,ND,0.077,ND,13.8,35,ND,ND,ND
Pennsylvania,Clearfield County,81642,ND,ND,ND,ND,0.077,ND,ND,ND,ND,ND,ND
Pennsylvania,Cumberland County,235406,ND,ND,ND,ND,ND,ND,10.2,31,ND,ND,ND
Pennsylvania,Dauphin County,268100,1,ND,10.674,40,0.077,44,12,33,ND,ND,ND
Pennsylvania,Delaware County,558979,ND,0.05,11.555,50,0.076,70,13.5,33,3.03,13,34
Pennsylvania,Erie County,280566,1,ND,7.863,IN,0.075,47,IN,IN,5.604,13.8,28
Pennsylvania,Franklin County,149618,ND,IN,ND,ND,0.07,ND,ND,ND,ND,ND,ND
Pennsylvania,Greene County,38686,ND,ND,ND,ND,0.078,ND,ND,ND,IN,IN,IN
Pennsylvania,Indiana County,88880,ND,0.05,ND,ND,0.082,ND,ND,ND,5.111,21.9,95
Pennsylvania,Lackawanna County,214437,1,ND,9.102,43,0.074,ND,9.7,28,ND,ND,ND
Pennsylvania,Lancaster County,519445,ND,ND,8.443,42,0.082,44,11.7,34,ND,ND,ND
Pennsylvania,Lawrence County,91108,2,IN,ND,ND,0.068,78,ND,ND,2.192,15.8,53
Pennsylvania,Lehigh County,349497,ND,ND,ND,ND,0.08,39,IN,IN,ND,ND,ND
Pennsylvania,Luzerne County,320918,ND,IN,ND,ND,0.07,48,IN,IN,1.474,9.1,17
Pennsylvania,Lycoming County,116111,ND,ND,ND,ND,0.073,36,ND,ND,ND,ND,ND
Pennsylvania,Mercer County,116638,ND,ND,ND,ND,0.076,ND,IN,IN,ND,ND,ND
Pennsylvania,Monroe County,169842,ND,ND,ND,ND,0.078,ND,IN,IN,ND,ND,ND
Pennsylvania,Montgomery County,799874,ND,ND,ND,ND,0.081,ND,9.5,26,1.822,7.6,15
Pennsylvania,Northampton County,297735,1,ND,10.711,41,0.082,64,13.7,33,2.394,17.7,57
Pennsylvania,Perry County,45969,ND,ND,2.826,23,0.072,ND,IN,IN,2.868,9.3,18
Pennsylvania,Philadelphia County,1526006,2,0.03,22.609,61.6,0.088,91,11.3,29,2.94,17.9,25
Pennsylvania,Tioga County,41981,ND,ND,ND,ND,0.074,ND,ND,ND,ND,ND,ND
Pennsylvania,Warren County,41815,ND,ND,ND,ND,ND,ND,ND,ND,4.089,41.7,109
Pennsylvania,Washington County,207820,1,ND,10.525,41,0.073,47,13.2,29,5.108,15.3,42
Pennsylvania,Westmoreland County,365169,ND,0.05,ND,ND,0.076,ND,14,32,ND,ND,ND
