"Air Quality Statistics by County, 2010",,,,,,,,,,,,,
State/County ,,2010 Population,CO          8-hr   (ppm),Pb      RQmax (µg/m3),NO2          AM   (ppb),NO2  1-hr (ppb),O3           8-hr   (ppb),PM10           24-hr (µg/m3),PM2.5     Wtd AM  (µg/m3),PM2.5        24-hr  (µg/m3),SO2       AM   (ppb),SO2             24-hr  (ppb),SO2     1-hr (ppb)
Florida,Sarasota County,379448,ND,ND,3.986,IN,0.07,59,7.1,14,ND,ND,ND
Florida,Seminole County,422718,ND,ND,ND,ND,0.067,46,7.6,14,ND,ND,ND
Florida,Volusia County,494593,ND,ND,ND,ND,0.066,45,7.5,17,ND,ND,ND
Florida,Wakulla County,30776,ND,ND,ND,ND,0.068,ND,ND,ND,ND,ND,ND
Georgia,Bartow County,100157,ND,0.02,ND,ND,ND,ND,ND,ND,ND,ND,ND
Georgia,Bibb County,155547,ND,ND,ND,ND,0.071,50,13.7,28,1.458,5.9,23
Georgia,Chatham County,265128,ND,ND,ND,ND,0.065,33,10.5,24,3.42,33.2,83
Georgia,Chattooga County,26015,ND,ND,ND,ND,0.067,37,ND,ND,ND,ND,ND
Georgia,Clarke County,116714,ND,ND,ND,ND,0.073,ND,11.3,23,ND,ND,ND
Georgia,Clayton County,259424,ND,ND,ND,ND,ND,ND,13.4,25,ND,ND,ND
Georgia,Cobb County,688078,ND,ND,ND,ND,0.079,ND,12.2,23,ND,ND,ND
Georgia,Columbia County,124053,ND,ND,ND,ND,0.068,ND,ND,ND,ND,ND,ND
Georgia,Coweta County,127317,ND,ND,ND,ND,0.065,ND,ND,ND,ND,ND,ND
Georgia,Dawson County,22330,ND,ND,ND,ND,0.073,ND,ND,ND,ND,ND,ND
Georgia,DeKalb County,691893,2,IN,13.657,58,0.075,51,12.3,24,IN,IN,IN
Georgia,Dougherty County,94565,ND,ND,ND,ND,ND,50,IN,IN,ND,ND,ND
Georgia,Douglas County,132403,ND,ND,ND,ND,0.074,ND,ND,ND,ND,ND,ND
Georgia,Floyd County,96317,ND,ND,ND,ND,ND,47,IN,IN,1.551,10.5,49
Georgia,Fulton County,920581,1,ND,ND,ND,0.08,48,14.5,24,1.908,10,33
Georgia,Glynn County,79626,ND,ND,ND,ND,0.066,37,IN,IN,1.101,2.4,7
Georgia,Gwinnett County,805321,ND,ND,ND,ND,0.072,ND,12.3,22,ND,ND,ND
Georgia,Hall County,179684,ND,ND,ND,ND,ND,ND,11.4,23,ND,ND,ND
Georgia,Henry County,203922,ND,ND,ND,ND,0.078,ND,ND,ND,ND,ND,ND
