region,subregion,population,co.8hr.ppm,pb.rqmax.microg.by.m3,no2.am.ppb,no2.1hr.ppb,o3.8hr.ppb,pm10.24hr.microg.by.m3,pm2.5.wtd.am.microg.by.m3,pm2.5.24hr.microg.by.m3,so2.am.ppb,so2.24hr.ppb,so2.1hr.ppb
california,santa clara,1781642,2,NA,14.394,50.7,0.08,37,8.8,29,0.352,1.6,4.1
california,santa cruz,262382,1,NA,1.803,IN,0.054,30,6.5,13,NA,NA,NA
california,shasta,177223,NA,NA,NA,NA,0.074,29,4.6,10,NA,NA,NA
california,siskiyou,44900,NA,NA,NA,NA,0.059,19,IN,IN,NA,NA,NA
california,solano,413344,2,NA,9.299,39,0.07,32,7.7,23,0.566,2.2,6.9
california,sonoma,483878,1,NA,8.198,35,0.054,30,7.2,22,NA,NA,NA
california,stanislaus,514453,2,NA,10.119,39,0.087,68,12,44,NA,NA,NA
california,sutter,94737,NA,NA,7.503,45,0.068,38,5.9,17,NA,NA,NA
california,tehama,63463,NA,NA,NA,NA,0.077,38,IN,IN,NA,NA,NA
california,trinity,13786,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA
california,tulare,442179,NA,NA,12.512,56,0.096,71,13.6,36,NA,NA,NA
california,tuolumne,55365,NA,NA,NA,NA,0.072,NA,NA,NA,NA,NA,NA
california,ventura,823318,NA,NA,10.096,41,0.082,45,8.7,21,NA,NA,NA
california,yolo,200849,NA,NA,6.416,IN,0.069,49,IN,IN,NA,NA,NA
colorado,adams,441603,2,NA,16.009,IN,0.063,68,8.6,22,0.992,8.5,37
colorado,alamosa,15445,NA,NA,NA,NA,NA,260,NA,NA,NA,NA,NA
colorado,arapahoe,572003,NA,IN,NA,NA,0.075,NA,6.5,15,NA,NA,NA
colorado,archuleta,12084,NA,NA,NA,NA,NA,200,IN,IN,NA,NA,NA
colorado,boulder,294567,2,NA,NA,NA,0.072,36,7.1,23,NA,NA,NA
colorado,delta,30952,NA,NA,NA,NA,NA,115,IN,IN,NA,NA,NA
colorado,denver,600158,2,0.01,27.704,71,0.069,62,7.8,19,1.644,8.8,32
colorado,douglas,285465,NA,NA,NA,NA,0.079,NA,5.8,13,NA,NA,NA
colorado,elbert,23086,NA,NA,NA,NA,NA,NA,4.3,9,NA,NA,NA
colorado,el paso,622263,2,NA,NA,NA,0.072,38,6.2,12,NA,NA,NA
colorado,fremont,46824,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA
colorado,garfield,56389,NA,NA,NA,NA,0.066,55,NA,NA,NA,NA,NA
colorado,gunnison,15324,NA,NA,NA,NA,NA,123,IN,IN,NA,NA,NA
colorado,jefferson,534543,NA,NA,NA,NA,0.076,NA,NA,NA,NA,NA,NA
colorado,la plata,51334,1,NA,6.325,39,0.074,226,4.1,8,NA,NA,NA
colorado,larimer,299630,2,NA,NA,NA,0.077,43,6.5,22,NA,NA,NA
colorado,mesa,146723,1,NA,NA,NA,0.068,131,9,37,NA,NA,NA
colorado,montezuma,25535,NA,NA,NA,NA,0.066,NA,6,13,NA,NA,NA
colorado,pitkin,17148,NA,NA,NA,NA,0.063,45,NA,NA,NA,NA,NA
colorado,prowers,12551,NA,NA,NA,NA,NA,131,NA,NA,NA,NA,NA
colorado,pueblo,159063,NA,NA,NA,NA,NA,55,6.2,14,NA,NA,NA
colorado,rio blanco,6666,NA,NA,0.963,IN,0.066,NA,IN,IN,NA,NA,NA
colorado,routt,23509,NA,NA,NA,NA,NA,90,IN,IN,NA,NA,NA
colorado,san miguel,7359,NA,NA,NA,NA,NA,133,IN,IN,NA,NA,NA
colorado,summit,27994,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA
colorado,weld,252825,2,NA,NA,NA,0.073,43,7.6,20,NA,NA,NA
connecticut,fairfield,916829,2,NA,10.132,50,0.084,40,9.1,26,1.529,10.4,17.8
connecticut,hartford,894014,2,NA,9.609,44,0.076,24,8.5,24,0.996,6,9.9
connecticut,litchfield,189927,1,NA,IN,IN,0.072,IN,6,19,IN,IN,IN
connecticut,middlesex,165676,NA,NA,NA,NA,0.081,NA,NA,NA,NA,NA,NA
connecticut,new haven,862477,2,NA,13.564,57,0.079,55,9.2,26,1.48,11.7,39.5
connecticut,new london,274055,NA,NA,NA,NA,0.075,NA,7.8,21,NA,NA,NA
connecticut,tolland,152691,NA,NA,NA,NA,0.079,NA,NA,NA,NA,NA,NA
delaware,kent,162310,NA,NA,NA,NA,0.077,NA,9.7,25,NA,NA,NA
delaware,new castle,538479,1,NA,12.933,50,0.08,NA,10.6,28,2.172,14.2,31.6
delaware,sussex,197145,NA,NA,NA,NA,0.084,NA,9.9,27,NA,NA,NA
district of columbia,district of columbia,601723,3,NA,17.595,59,0.086,85,11.1,29,3.372,10.5,21
florida,alachua,247336,NA,NA,NA,NA,0.069,NA,7.8,16,NA,NA,NA
florida,baker,27115,NA,NA,NA,NA,0.065,NA,NA,NA,NA,NA,NA
florida,bay,168852,NA,NA,NA,NA,0.072,NA,IN,IN,NA,NA,NA
florida,brevard,543376,NA,NA,NA,NA,0.064,51,IN,IN,0.175,3.3,7
florida,broward,1748066,2,NA,7.118,49,0.062,32,7,14,0.389,5.9,38
florida,citrus,141236,NA,NA,NA,NA,NA,NA,7.6,16,NA,NA,NA
florida,collier,321520,NA,NA,NA,NA,0.059,NA,NA,NA,NA,NA,NA
florida,columbia,67531,NA,NA,NA,NA,0.068,NA,NA,NA,NA,NA,NA
florida,duval,864263,2,NA,9.324,44,0.068,62,9.4,20,0.948,5,22
florida,escambia,297619,NA,NA,IN,IN,0.074,NA,9.1,18,1.544,12.9,45
florida,hamilton,14799,NA,NA,NA,NA,NA,NA,NA,NA,0.499,3.8,21
florida,highlands,98786,NA,NA,NA,NA,0.066,NA,NA,NA,NA,NA,NA
florida,hillsborough,1229226,1,0.73,6.079,IN,0.072,62,8.1,15,2.852,28.7,104
florida,holmes,19927,NA,NA,NA,NA,0.065,NA,NA,NA,NA,NA,NA
florida,lake,297052,NA,NA,NA,NA,0.066,NA,NA,NA,NA,NA,NA
florida,lee,618754,NA,NA,NA,NA,0.065,67,7,13,NA,NA,NA
florida,leon,275487,NA,NA,NA,NA,0.065,NA,9.7,23,NA,NA,NA
florida,manatee,322833,NA,NA,NA,NA,0.068,NA,IN,IN,NA,NA,NA
florida,marion,331298,NA,NA,NA,NA,0.068,NA,IN,IN,NA,NA,NA
florida,martin,146318,NA,NA,NA,NA,0.059,NA,NA,NA,NA,NA,NA
florida,miami-dade,2496435,1,NA,9.651,47,0.069,44,7.8,13,0.002,0.1,1
florida,nassau,73314,NA,NA,NA,NA,NA,NA,NA,NA,3.949,58.4,216
florida,okaloosa,180822,NA,NA,NA,NA,0.069,NA,NA,NA,NA,NA,NA
florida,orange,1145956,1,NA,5.627,40,0.071,35,7.5,14,0.157,2.2,7
florida,osceola,268685,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA
florida,palm beach,1320134,NA,NA,5.378,46,0.066,35,6.4,12,0.831,3.5,8
florida,pasco,464697,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA
florida,pinellas,916542,1,NA,5.68,38,0.067,41,8.1,16,0.682,6.3,34
florida,polk,602095,NA,NA,NA,NA,0.068,51,7.7,15,NA,NA,NA
florida,putnam,74364,NA,NA,NA,NA,NA,58,NA,NA,0.678,4.9,33
florida,st. lucie,277789,NA,NA,NA,NA,0.061,NA,7.6,14,NA,NA,NA
