region,subregion,population,co.8hr.ppm,pb.rqmax.microg.by.m3,no2.am.ppb,no2.1hr.ppb,o3.8hr.ppb,pm10.24hr.microg.by.m3,pm2.5.wtd.am.microg.by.m3,pm2.5.24hr.microg.by.m3,so2.am.ppb,so2.24hr.ppb,so2.1hr.ppb
new jersey,ocean,576567,NA,NA,NA,NA,0.087,NA,8.7,24,NA,NA,NA
new jersey,passaic,501226,NA,NA,NA,NA,0.077,NA,IN,IN,NA,NA,NA
new jersey,union,536499,2,NA,22.192,71,NA,NA,10.6,28,1.414,8.8,30
new jersey,warren,108692,NA,NA,NA,NA,NA,NA,9.4,38,IN,IN,IN
new mexico,bernalillo,662564,3,NA,12.068,53,0.069,122,5.3,18,NA,NA,NA
new mexico,chaves,65645,NA,NA,NA,NA,NA,33,IN,IN,NA,NA,NA
new mexico,doña ana,209233,NA,NA,8.625,51,0.07,589,10.7,40,NA,NA,NA
new mexico,eddy,53829,NA,NA,2.393,IN,0.07,NA,NA,NA,NA,NA,NA
new mexico,grant,29514,NA,NA,NA,NA,0.07,26,4.5,11,0.053,1,1
new mexico,lea,64727,NA,NA,5.621,41,0.053,50,IN,IN,NA,NA,NA
new mexico,luna,25095,NA,NA,4.565,28,0.058,519,NA,NA,NA,NA,NA
new mexico,mckinley,71492,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA
new mexico,sandoval,131561,NA,NA,NA,NA,0.063,83,IN,IN,NA,NA,NA
new mexico,san juan,130044,NA,NA,12.39,40,0.069,49,IN,IN,0.665,2.3,14
new mexico,santa fe,144170,NA,NA,NA,NA,0.064,27,4,8,NA,NA,NA
new mexico,taos,32937,NA,NA,NA,NA,NA,39,NA,NA,NA,NA,NA
new mexico,valencia,76569,NA,NA,NA,NA,0.063,NA,NA,NA,NA,NA,NA
new york,albany,304204,1,NA,NA,NA,0.073,NA,7.9,24,2.326,7.4,14
new york,bronx,1385108,2,NA,20.097,70,0.073,NA,11.4,27,4.829,23.6,50.2
new york,broome,200600,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
new york,chautauqua,134905,NA,NA,NA,NA,0.08,NA,7.5,24,1.544,8.3,30
new york,chemung,88830,NA,NA,NA,NA,0.067,NA,NA,NA,2.084,6,11
new york,dutchess,297488,NA,NA,NA,NA,0.076,NA,IN,IN,NA,NA,NA
new york,erie,919040,1,NA,13,59,0.072,NA,10.2,30,1.831,8.4,30.6
new york,essex,39370,NA,NA,NA,NA,0.073,NA,4.3,16,0.716,2.4,4.7
new york,franklin,51599,NA,NA,2.099,19,0.047,NA,NA,NA,1.043,13.5,14
new york,hamilton,4836,NA,NA,NA,NA,0.068,NA,NA,NA,0.338,2.7,4.1
new york,herkimer,64519,NA,NA,NA,NA,0.065,NA,NA,NA,0.54,2.5,4.2
new york,jefferson,116229,NA,NA,NA,NA,0.077,NA,NA,NA,NA,NA,NA
new york,kings,2504700,NA,NA,NA,NA,NA,NA,9.9,25,NA,NA,NA
new york,madison,73442,NA,NA,NA,NA,0.071,NA,NA,NA,1.093,5.3,7
new york,monroe,744344,1,NA,NA,NA,0.072,NA,8.3,23,2.186,8.8,25
new york,nassau,1339532,NA,NA,14.569,57,NA,NA,8.7,20,2.093,10.3,18
new york,new york,1585873,2,NA,NA,NA,0.074,NA,11.5,27,NA,NA,NA
new york,niagara,216469,1,NA,NA,NA,0.071,NA,8.3,25,1.535,6.7,16.3
new york,oneida,234878,NA,NA,NA,NA,0.063,NA,IN,IN,NA,NA,NA
new york,onondaga,467026,1,NA,NA,NA,0.073,NA,7.6,23,0.92,3.6,10
new york,orange,372813,NA,0.08,NA,NA,0.075,NA,8.1,27,NA,NA,NA
new york,oswego,122109,NA,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA
new york,putnam,99710,NA,NA,NA,NA,0.077,NA,NA,NA,0.796,3.8,10
new york,queens,2230722,2,NA,19.275,69,0.076,NA,9.4,26,2.831,15.2,25.4
new york,rensselaer,159429,NA,NA,NA,NA,0.073,NA,NA,NA,1.123,5.3,7.5
new york,richmond,468730,NA,NA,NA,NA,0.085,NA,9.7,26,NA,NA,NA
new york,rockland,311687,NA,NA,NA,NA,0.076,NA,NA,NA,NA,NA,NA
new york,st. lawrence,111944,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
new york,saratoga,219607,NA,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA
new york,schenectady,154727,1,NA,NA,NA,0.07,NA,IN,IN,1.92,6.2,16
new york,steuben,98990,0,NA,1.334,13.7,0.068,NA,IN,IN,0.634,6.1,13.7
new york,suffolk,1493350,1,NA,8.783,IN,0.085,NA,8.4,26,3.73,11,IN
new york,ulster,182493,NA,NA,NA,NA,0.07,NA,NA,NA,0.502,3.3,6.2
new york,wayne,93772,NA,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA
new york,westchester,949113,NA,NA,NA,NA,0.075,NA,8.8,27,NA,NA,NA
north carolina,alamance,151131,NA,NA,NA,NA,NA,NA,11.1,20,NA,NA,NA
north carolina,alexander,37198,NA,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA
north carolina,avery,17797,NA,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA
north carolina,beaufort,47759,NA,NA,NA,NA,NA,NA,NA,NA,0.71,6.2,28
north carolina,buncombe,238318,NA,NA,NA,NA,0.071,NA,10.2,20,NA,NA,NA
north carolina,cabarrus,178011,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
north carolina,caldwell,83029,NA,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA
north carolina,caswell,23719,NA,NA,NA,NA,0.073,NA,10.1,18,NA,NA,NA
north carolina,catawba,154358,NA,NA,NA,NA,NA,33,11.2,23,NA,NA,NA
north carolina,chatham,63505,NA,NA,NA,NA,0.07,NA,8.9,19,NA,NA,NA
north carolina,cumberland,319431,NA,NA,NA,NA,0.072,37,11.4,25,NA,NA,NA
north carolina,davidson,162878,NA,NA,NA,NA,NA,NA,12.1,24,NA,NA,NA
north carolina,davie,41240,NA,NA,NA,NA,0.072,NA,NA,NA,NA,NA,NA
north carolina,duplin,58505,NA,NA,NA,NA,NA,28,9.3,19,NA,NA,NA
north carolina,durham,267587,NA,NA,NA,NA,0.074,NA,10.2,21,NA,NA,NA
north carolina,edgecombe,56552,NA,NA,NA,NA,0.072,NA,9.7,21,NA,NA,NA
north carolina,forsyth,350670,2,NA,9.395,49,0.081,47,10.8,24,0.331,4.1,15
north carolina,franklin,60619,NA,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA
north carolina,gaston,206086,NA,NA,NA,NA,NA,NA,10.8,22,NA,NA,NA
north carolina,graham,8861,NA,NA,NA,NA,0.075,NA,NA,NA,NA,NA,NA
north carolina,granville,59916,NA,NA,NA,NA,0.074,NA,NA,NA,NA,NA,NA
north carolina,guilford,488406,NA,NA,NA,NA,0.076,29,10.5,21,NA,NA,NA
north carolina,haywood,59036,NA,NA,NA,NA,0.075,NA,10.6,24,NA,NA,NA
north carolina,jackson,40271,NA,NA,NA,NA,0.069,NA,10.2,19,NA,NA,NA
north carolina,johnston,168878,NA,NA,NA,NA,0.074,NA,9.8,20,NA,NA,NA
north carolina,lenoir,59495,NA,NA,NA,NA,0.069,NA,9.5,20,NA,NA,NA
north carolina,lincoln,78265,NA,NA,NA,NA,0.072,NA,NA,NA,NA,NA,NA
north carolina,mcdowell,44996,NA,NA,NA,NA,NA,NA,10.3,19,NA,NA,NA
north carolina,martin,24505,NA,NA,NA,NA,0.07,NA,9,22,0.449,3.1,6
north carolina,mecklenburg,919628,2,NA,11.738,50,0.082,48,12.1,25,0.926,5.7,19.8
north carolina,mitchell,15579,NA,NA,NA,NA,NA,NA,9.7,18,NA,NA,NA
north carolina,montgomery,27798,NA,NA,NA,NA,NA,NA,9.9,22,NA,NA,NA
north carolina,nash,95840,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
north carolina,new hanover,202667,NA,NA,NA,NA,0.062,NA,8,20,4.255,27.7,114
north carolina,onslow,177772,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
north carolina,orange,133801,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
north carolina,pasquotank,40661,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
north carolina,person,39464,NA,NA,NA,NA,0.074,NA,NA,NA,NA,NA,NA
north carolina,pitt,168148,NA,NA,NA,NA,0.069,NA,9.2,22,NA,NA,NA
north carolina,robeson,134168,NA,NA,NA,NA,NA,NA,10.6,25,NA,NA,NA
north carolina,rockingham,93643,NA,NA,NA,NA,0.074,NA,NA,NA,NA,NA,NA
north carolina,rowan,138428,1,NA,NA,NA,0.078,NA,11,22,NA,NA,NA
north carolina,swain,13981,NA,NA,NA,NA,0.066,NA,9.9,21,IN,IN,IN
north carolina,union,201292,NA,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA
north carolina,wake,900993,2,NA,NA,NA,0.073,43,10.2,21,1.017,5.7,12.4
north carolina,watauga,51079,NA,NA,NA,NA,NA,NA,8.8,16,NA,NA,NA
north carolina,wayne,122623,NA,NA,NA,NA,NA,NA,10.6,21,NA,NA,NA
north carolina,yancey,17818,NA,NA,NA,NA,0.074,NA,NA,NA,NA,NA,NA
north dakota,billings,783,NA,NA,NA,NA,0.061,NA,4.7,12,0.151,1.5,6
north dakota,burke,1968,NA,NA,1.856,21,0.063,46,IN,IN,1.232,15.9,45.2
north dakota,burleigh,81308,NA,NA,5.707,38,0.061,44,7.7,18,1.175,9.3,41
north dakota,cass,149778,1,NA,5.435,44,0.063,96,8.5,27,0.293,2.5,6.1
north dakota,dunn,3536,NA,NA,IN,IN,0.058,32,NA,NA,IN,IN,IN
north dakota,grand forks,66861,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
north dakota,mckenzie,6360,NA,NA,1.149,10,0.062,29,IN,IN,0.528,3.5,21
north dakota,mercer,8424,NA,NA,2.926,26,0.061,43,6.4,15,1.481,14.3,54
north dakota,oliver,1846,NA,NA,2.201,19,0.061,NA,NA,NA,1.479,10.4,59
north dakota,stark,24199,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
north dakota,steele,1975,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
north dakota,ward,61675,NA,NA,IN,IN,NA,NA,NA,NA,IN,IN,IN
north dakota,williams,22398,NA,NA,NA,NA,NA,NA,NA,NA,2.219,25.9,77
ohio,adams,28550,NA,NA,NA,NA,NA,NA,NA,NA,2.353,10.7,43
ohio,allen,106331,NA,NA,NA,NA,0.072,42,IN,IN,1.877,7.1,23
ohio,ashtabula,101497,NA,NA,NA,NA,0.083,NA,NA,NA,1.604,8.4,20
ohio,athens,64757,NA,NA,4.036,25.7,0.07,NA,IN,IN,4.969,17,70.5
ohio,belmont,70400,NA,NA,NA,NA,NA,NA,NA,NA,2.753,15.7,62
ohio,butler,368130,NA,0.01,NA,NA,0.08,44,13.6,32,IN,IN,IN
ohio,clark,138333,NA,NA,NA,NA,0.075,NA,13.1,30,1.393,12.3,28
ohio,clermont,197363,NA,NA,NA,NA,0.075,NA,12,28,NA,NA,NA
ohio,clinton,42040,NA,NA,NA,NA,0.076,NA,NA,NA,NA,NA,NA
ohio,columbiana,107841,NA,0.06,NA,NA,NA,44,NA,NA,2.674,21.5,47
ohio,cuyahoga,1280122,4,0.53,15.822,58,0.075,72,14,33,5.823,36.4,76
ohio,delaware,174214,NA,NA,NA,NA,0.074,NA,NA,NA,NA,NA,NA
ohio,franklin,1163414,2,0.01,NA,NA,0.077,126,13.1,34,NA,NA,NA
ohio,fulton,42698,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
ohio,geauga,93389,NA,NA,NA,NA,0.081,NA,NA,NA,NA,NA,NA
ohio,greene,161573,NA,NA,NA,NA,0.07,31,IN,IN,NA,NA,NA
ohio,hamilton,802374,1,NA,14.645,54,0.08,59,14.9,35,2.664,14.2,IN
ohio,hancock,74782,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA
ohio,jefferson,69709,NA,NA,NA,NA,0.071,63,12.7,30,4.41,26.5,127
ohio,knox,60921,NA,NA,NA,NA,0.073,NA,NA,NA,NA,NA,NA
ohio,lake,230041,1,NA,NA,NA,0.08,39,10.4,27,7.611,48.7,139
ohio,lawrence,62450,NA,NA,NA,NA,0.074,40,12.1,25,IN,8,IN
ohio,licking,166492,NA,NA,NA,NA,0.074,NA,NA,NA,NA,NA,NA
ohio,logan,45858,NA,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA
ohio,lorain,301356,NA,NA,NA,NA,0.073,35,10.4,24,NA,NA,NA
ohio,lucas,441815,NA,NA,NA,NA,0.072,87,11.4,30,NA,NA,NA
ohio,madison,43435,NA,NA,NA,NA,0.073,NA,NA,NA,NA,NA,NA
ohio,mahoning,238823,NA,NA,NA,NA,0.071,49,12.6,33,2.439,13.1,48
ohio,marion,66501,NA,IN,NA,NA,NA,NA,NA,NA,NA,NA,NA
ohio,medina,172332,1,NA,IN,IN,0.071,NA,10.8,29,IN,IN,IN
ohio,meigs,23770,NA,NA,NA,NA,NA,NA,NA,NA,3.212,16.9,94
ohio,miami,102506,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA
ohio,montgomery,535153,2,NA,NA,NA,0.077,45,14,30,NA,NA,NA
ohio,morgan,15054,NA,NA,NA,NA,NA,NA,NA,NA,3.915,40.2,167
ohio,portage,161419,NA,NA,NA,NA,0.071,NA,11.2,32,NA,NA,NA
ohio,preble,42270,NA,NA,NA,NA,0.071,NA,12,30,NA,NA,NA
ohio,scioto,79499,NA,NA,NA,NA,NA,50,11.8,24,2.366,12.8,51.8
ohio,stark,375586,2,0.02,NA,NA,0.08,NA,14.4,33,NA,NA,NA
ohio,summit,541781,2,NA,NA,NA,0.076,NA,13.2,32,2.493,22.7,38
ohio,trumbull,210312,NA,IN,NA,NA,0.076,44,11.9,31,NA,NA,NA
ohio,tuscarawas,92582,NA,NA,NA,NA,NA,NA,NA,NA,3.967,18,58
ohio,warren,212693,NA,NA,NA,NA,0.076,NA,11.9,27,NA,NA,NA
ohio,washington,61778,NA,0.01,NA,NA,0.076,NA,NA,NA,NA,NA,NA
ohio,wood,125488,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA
oklahoma,adair,22683,0,NA,3.133,IN,0.07,44,14.2,28,IN,IN,IN
oklahoma,caddo,29600,NA,NA,NA,NA,0.069,39,8.9,23,NA,NA,NA
oklahoma,canadian,115541,NA,NA,NA,NA,0.072,NA,IN,IN,NA,NA,NA
oklahoma,carter,47557,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
oklahoma,cherokee,46987,NA,NA,NA,NA,0.071,NA,IN,IN,NA,NA,NA
oklahoma,cleveland,255755,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA
oklahoma,comanche,124098,NA,NA,NA,NA,0.067,NA,IN,IN,NA,NA,NA
oklahoma,creek,69967,NA,NA,NA,NA,0.069,NA,NA,NA,NA,NA,NA
oklahoma,custer,27469,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
oklahoma,dewey,4810,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA
oklahoma,garfield,60580,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
oklahoma,jefferson,6472,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA
oklahoma,kay,46562,NA,NA,NA,NA,0.059,NA,IN,IN,3.26,12.4,38
oklahoma,lincoln,34273,NA,NA,NA,NA,0.059,NA,IN,IN,NA,NA,NA
oklahoma,love,9423,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA
oklahoma,mcclain,34506,NA,NA,NA,NA,0.069,NA,NA,NA,NA,NA,NA
oklahoma,mccurtain,33151,NA,NA,NA,NA,0.066,NA,NA,NA,NA,NA,NA
oklahoma,mayes,41259,NA,0,NA,NA,0.069,NA,10.9,22,NA,NA,NA
oklahoma,muskogee,70990,NA,NA,NA,NA,0.03,118,10.7,20,0.831,8.2,30
oklahoma,oklahoma,718633,1,0,8.921,47,0.072,41,9.2,18,0.777,3.5,6
oklahoma,osage,47472,NA,NA,NA,NA,0.068,39,NA,NA,NA,NA,NA
oklahoma,ottawa,31848,NA,IN,NA,NA,0.068,65,IN,IN,NA,NA,NA
oklahoma,pawnee,16577,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
oklahoma,payne,77350,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
oklahoma,pittsburg,45837,NA,0,NA,NA,0.068,NA,9.8,18,NA,NA,NA
oklahoma,pottawatomie,69442,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
oklahoma,seminole,25482,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
oklahoma,sequoyah,42391,NA,NA,IN,IN,0.068,NA,IN,IN,NA,NA,NA
oklahoma,tulsa,603403,2,0.01,8.311,38,0.073,74,10.7,24,5.3,26.2,63
oregon,benton,85579,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
oregon,clackamas,375992,NA,NA,NA,NA,0.066,NA,NA,NA,NA,NA,NA
oregon,columbia,49351,NA,NA,NA,NA,0.049,NA,IN,IN,NA,NA,NA
oregon,crook,20978,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
oregon,deschutes,157733,NA,NA,NA,NA,0.059,NA,4.5,15,NA,NA,NA
oregon,douglas,107667,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
oregon,harney,7422,NA,NA,NA,NA,NA,NA,7.9,25,NA,NA,NA
oregon,jackson,203206,2,NA,NA,NA,0.061,31,7.1,19,NA,NA,NA
oregon,josephine,82713,NA,NA,NA,NA,NA,NA,6.4,20,NA,NA,NA
oregon,klamath,66380,NA,NA,NA,NA,NA,43,9.8,35,NA,NA,NA
oregon,lake,7895,NA,NA,NA,NA,NA,NA,7.5,26,NA,NA,NA
oregon,lane,351715,1,NA,NA,NA,0.06,39,8.9,33,NA,NA,NA
oregon,linn,116672,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
oregon,marion,315335,NA,NA,NA,NA,0.057,NA,IN,IN,NA,NA,NA
oregon,multnomah,735334,2,NA,8.635,33,0.054,29,6.3,17,1.35,3.2,8
oregon,umatilla,75889,NA,NA,NA,NA,0.063,29,6.9,18,NA,NA,NA
oregon,union,25748,NA,NA,NA,NA,NA,31,5.9,13,NA,NA,NA
oregon,wasco,25213,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
oregon,washington,529710,NA,NA,NA,NA,0.056,NA,6.6,16,NA,NA,NA
oregon,yamhill,99193,NA,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA
pennsylvania,adams,101407,0,NA,IN,IN,0.074,NA,11.7,31,NA,NA,NA
pennsylvania,allegheny,1223348,3,0.14,15.254,51,0.083,93,16.1,49,7.106,25.9,141
pennsylvania,armstrong,68941,NA,NA,NA,NA,0.079,NA,13.2,32,NA,NA,NA
pennsylvania,beaver,170539,NA,0.21,11.429,IN,0.077,69,12.6,29,6.681,39.6,161
pennsylvania,berks,411442,1,0.2,8.232,38,0.084,28,10.1,27,3.396,9.8,36
pennsylvania,blair,127089,NA,NA,NA,NA,0.072,52,IN,IN,4.721,19.1,36
pennsylvania,bucks,625249,2,NA,10.638,44,0.087,NA,10.4,29,2.796,13.9,24
pennsylvania,cambria,143679,1,NA,10.485,43,0.072,63,11.9,31,4.182,19.3,56
pennsylvania,centre,153990,NA,NA,5.187,33,0.073,NA,9,26,2.072,9.9,26
pennsylvania,chester,498886,NA,NA,NA,NA,0.077,NA,13.8,35,NA,NA,NA
pennsylvania,clearfield,81642,NA,NA,NA,NA,0.077,NA,NA,NA,NA,NA,NA
pennsylvania,cumberland,235406,NA,NA,NA,NA,NA,NA,10.2,31,NA,NA,NA
pennsylvania,dauphin,268100,1,NA,10.674,40,0.077,44,12,33,NA,NA,NA
pennsylvania,delaware,558979,NA,0.05,11.555,50,0.076,70,13.5,33,3.03,13,34
pennsylvania,erie,280566,1,NA,7.863,IN,0.075,47,IN,IN,5.604,13.8,28
pennsylvania,franklin,149618,NA,IN,NA,NA,0.07,NA,NA,NA,NA,NA,NA
pennsylvania,greene,38686,NA,NA,NA,NA,0.078,NA,NA,NA,IN,IN,IN
pennsylvania,indiana,88880,NA,0.05,NA,NA,0.082,NA,NA,NA,5.111,21.9,95
pennsylvania,lackawanna,214437,1,NA,9.102,43,0.074,NA,9.7,28,NA,NA,NA
pennsylvania,lancaster,519445,NA,NA,8.443,42,0.082,44,11.7,34,NA,NA,NA
pennsylvania,lawrence,91108,2,IN,NA,NA,0.068,78,NA,NA,2.192,15.8,53
pennsylvania,lehigh,349497,NA,NA,NA,NA,0.08,39,IN,IN,NA,NA,NA
pennsylvania,luzerne,320918,NA,IN,NA,NA,0.07,48,IN,IN,1.474,9.1,17
pennsylvania,lycoming,116111,NA,NA,NA,NA,0.073,36,NA,NA,NA,NA,NA
pennsylvania,mercer,116638,NA,NA,NA,NA,0.076,NA,IN,IN,NA,NA,NA
pennsylvania,monroe,169842,NA,NA,NA,NA,0.078,NA,IN,IN,NA,NA,NA
pennsylvania,montgomery,799874,NA,NA,NA,NA,0.081,NA,9.5,26,1.822,7.6,15
pennsylvania,northampton,297735,1,NA,10.711,41,0.082,64,13.7,33,2.394,17.7,57
pennsylvania,perry,45969,NA,NA,2.826,23,0.072,NA,IN,IN,2.868,9.3,18
pennsylvania,philadelphia,1526006,2,0.03,22.609,61.6,0.088,91,11.3,29,2.94,17.9,25
pennsylvania,tioga,41981,NA,NA,NA,NA,0.074,NA,NA,NA,NA,NA,NA
pennsylvania,warren,41815,NA,NA,NA,NA,NA,NA,NA,NA,4.089,41.7,109
pennsylvania,washington,207820,1,NA,10.525,41,0.073,47,13.2,29,5.108,15.3,42
pennsylvania,westmoreland,365169,NA,0.05,NA,NA,0.076,NA,14,32,NA,NA,NA
pennsylvania,york,434972,1,NA,13.411,53,0.076,70,11.3,30,2.717,8,27
rhode island,kent,166158,NA,NA,IN,IN,0.072,26,6.3,21,NA,NA,NA
rhode island,providence,626667,2,NA,9.83,40,0.075,37,9.2,26,1.34,13.1,21
rhode island,washington,126979,NA,NA,NA,NA,0.079,NA,IN,IN,NA,NA,NA
south carolina,abbeville,25417,NA,NA,NA,NA,0.067,NA,NA,NA,NA,NA,NA
south carolina,aiken,160099,NA,NA,NA,NA,0.066,NA,IN,IN,NA,NA,NA
south carolina,anderson,187126,NA,NA,NA,NA,0.072,NA,NA,NA,NA,NA,NA
south carolina,beaufort,162233,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
south carolina,berkeley,177843,NA,NA,NA,NA,0.066,NA,IN,IN,NA,NA,NA
south carolina,charleston,350209,0,IN,7.573,IN,0.068,49,9.9,23,1.07,9.5,21
south carolina,cherokee,55342,NA,NA,NA,NA,0.072,NA,NA,NA,NA,NA,NA
south carolina,chesterfield,46734,NA,NA,NA,NA,0.068,48,10.2,21,NA,NA,NA
south carolina,colleton,38892,NA,NA,NA,NA,0.069,NA,IN,IN,NA,NA,NA
south carolina,darlington,68681,NA,NA,NA,NA,0.071,NA,NA,NA,NA,NA,NA
south carolina,edgefield,26985,NA,NA,NA,NA,0.063,NA,10.3,21,NA,NA,NA
south carolina,florence,136885,NA,NA,NA,NA,NA,NA,10.9,25,NA,NA,NA
south carolina,georgetown,60158,NA,NA,NA,NA,NA,110,IN,IN,NA,NA,NA
south carolina,greenville,451225,1,IN,10.728,IN,0.07,42,11.8,24,0.567,3.4,15
south carolina,greenwood,69661,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
south carolina,horry,269291,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
south carolina,lexington,262391,NA,NA,NA,NA,NA,76,11.6,24,1.974,12,85
south carolina,oconee,74273,NA,NA,NA,NA,0.069,NA,8.6,20,0.494,2.2,5.2
south carolina,orangeburg,92501,NA,NA,NA,NA,NA,NA,IN,IN,NA,NA,NA
south carolina,pickens,119224,NA,NA,NA,NA,0.072,NA,NA,NA,NA,NA,NA
south carolina,richland,384504,IN,0,5.345,IN,0.072,49,11,22,0.521,6.4,34
south carolina,spartanburg,284307,NA,NA,NA,NA,0.076,NA,11.4,23,NA,NA,NA
south carolina,york,226073,NA,NA,NA,NA,0.066,NA,IN,IN,NA,NA,NA
south dakota,brookings,31965,NA,NA,NA,NA,0.064,81,8.6,26,NA,NA,NA
south dakota,brown,36531,NA,NA,NA,NA,NA,46,8.7,26,NA,NA,NA
south dakota,codington,27227,NA,NA,NA,NA,NA,125,8.9,24,NA,NA,NA
south dakota,custer,8216,NA,NA,IN,IN,0.059,67,4.6,12,0.117,2.6,5
south dakota,jackson,3031,NA,NA,0.509,5,0.058,31,3.9,14,1.038,3.3,9
south dakota,meade,25434,NA,NA,NA,NA,0.057,29,IN,IN,NA,NA,NA
south dakota,minnehaha,169468,NA,NA,6.583,48,0.064,60,9.7,28,0.247,1.7,5
south dakota,pennington,100948,NA,NA,NA,NA,NA,97,7.5,21,NA,NA,NA
south dakota,union,14399,0,NA,2.975,22,0.062,82,9.7,30,0.398,4.2,11.5
tennessee,anderson,75129,NA,NA,NA,NA,0.073,NA,NA,NA,NA,NA,NA
tennessee,blount,123010,0,NA,IN,IN,0.081,NA,11.7,22,IN,IN,IN
tennessee,bradley,98963,NA,NA,IN,IN,NA,52,NA,NA,6.906,27.6,102
tennessee,davidson,626681,2,NA,12.526,46,0.072,42,11.8,24,2.246,5.5,14
tennessee,dyer,38335,NA,NA,NA,NA,NA,NA,10.1,21,NA,NA,NA
tennessee,hamilton,336463,NA,NA,NA,NA,0.077,38,13.3,28,NA,NA,NA
tennessee,humphreys,18538,NA,NA,NA,NA,NA,NA,NA,NA,IN,IN,IN
tennessee,jefferson,51407,NA,NA,NA,NA,0.079,NA,NA,NA,NA,NA,NA
tennessee,knox,432226,NA,0.03,NA,NA,0.074,48,12.5,24,NA,NA,NA
tennessee,lawrence,41869,NA,NA,NA,NA,NA,NA,9.1,18,NA,NA,NA
tennessee,loudon,48556,NA,NA,NA,NA,0.076,NA,12.4,25,NA,NA,NA
tennessee,mcminn,52266,NA,NA,8.996,37,NA,51,11.9,22,3.145,14.4,73
tennessee,madison,98294,NA,NA,NA,NA,NA,27,9.9,19,NA,NA,NA
tennessee,maury,80956,NA,NA,NA,NA,NA,NA,9.7,18,NA,NA,NA
tennessee,meigs,11753,NA,NA,NA,NA,0.074,NA,NA,NA,NA,NA,NA
tennessee,montgomery,172331,NA,NA,NA,NA,NA,34,10.9,22,3.654,12,51
tennessee,putnam,72321,NA,NA,NA,NA,NA,NA,10.3,19,NA,NA,NA
tennessee,roane,54181,NA,0,NA,NA,NA,53,12.4,25,NA,NA,NA
tennessee,rutherford,262604,NA,NA,NA,NA,0.073,NA,NA,NA,NA,NA,NA
tennessee,sevier,89889,NA,NA,NA,NA,0.079,NA,NA,NA,0.686,3.7,10.4
tennessee,shelby,927644,2,NA,NA,NA,0.076,43,11.6,22,3.082,4.6,10
tennessee,sullivan,156823,1,0.08,10.347,48.5,0.072,NA,11.7,23,7.436,34.7,231.5
tennessee,sumner,160645,NA,NA,NA,NA,0.078,NA,10.7,20,NA,NA,NA
tennessee,union,19109,NA,NA,NA,NA,NA,89,NA,NA,NA,NA,NA
tennessee,williamson,183182,NA,NA,NA,NA,0.074,NA,NA,NA,NA,NA,NA
tennessee,wilson,113993,NA,NA,NA,NA,0.074,NA,NA,NA,NA,NA,NA
texas,bell,310235,NA,NA,NA,NA,0.072,NA,NA,NA,NA,NA,NA
